Agency,Total_Staff,Processing Costs,Total Costs,Processed,Simple_Median_Days,Requests_Per_Staff,Cost_Per_Request
AmeriCorps,0.3,28500.0,28500.0,75,6.0,250.0,380.0
Department of Justice,539.73,94660721.33,112233711.32,157180,13.0,291.21968391603207,602.2440598676676
American Battle Monuments Commission,1.0,15750.0,15750.0,38,15.0,38.0,414.4736842105263
Federal Energy Regulatory Commission,5.51,1538457.0,1538457.0,157,25.0,28.493647912885663,9799.089171974523
Office of Special Counsel,4.0,465000.0,558500.0,170,23.0,42.5,2735.294117647059
Commission of Fine Arts,0.1,12058.0,12058.0,91,15.0,910.0,132.5054945054945
United States Copyright Office,0.3,80910.35,80910.35,72,19.0,240.0,1123.7548611111113
Office of Science and Technology Policy,3.0,496176.0,497926.0,178,19.0,59.333333333333336,2787.505617977528
Federal Open Market Committee,3.0,296781.0,296781.0,64,8.0,21.333333333333332,4637.203125
U.S. Commission for the Preservation of America’s Heritage Abroad,0.1,2000.0,2000.0,20,84.0,200.0,100.0
U.S. Commission on Civil Rights,1.0,70685.0,70685.0,84,9.0,84.0,841.4880952380952
Council of the Inspectors General on Integrity and Efficiency,1.25,238090.28,330489.0,100,3.0,80.0,2380.9028
Office of the National Cyber Director,2.0,350000.0,350000.0,155,31.0,77.5,2258.064516129032
Department of Health and Human Services,406.26,66145484.3,80296507.08,49271,10.0,121.27947619750898,1342.4830894440947
Morris K. Udall and Stewart L. Udall Foundation,0.24,3973.0,3973.0,56,6.0,233.33333333333334,70.94642857142857
Surface Transportation Board,0.25,58900.0,58900.0,99,8.0,396.0,594.9494949494949
Department of Energy,89.52,9235075.68,10117074.42,3250,10.0,36.304736371760505,2841.5617476923076
Consumer Financial Protection Bureau,19.5,6131755.19,6136755.19,834,1.0,42.76923076923077,7352.224448441248
Federal Labor Relations Authority,5.0,114518.8,114518.8,204,366.5,40.8,561.3666666666667
U.S. Election Assistance Commission,1.0,27300.0,42500.0,42,17.0,42.0,650.0
Federal Communications Commission,12.57,2837928.5,2863629.63,984,13.0,78.28162291169451,2884.0736788617887
Federal Deposit Insurance Corporation,20.0,3104602.0,3346583.0,873,19.0,43.65,3556.2451317296677
Office of Navajo and Hopi Indian Relocation,0.2,1000.0,1000.0,74,2.0,370.0,13.513513513513514
National Credit Union Administration,2.14,444686.0,444686.0,384,7.0,179.4392523364486,1158.0364583333333
National Science Foundation,5.0,675349.0,675349.0,374,112.75,74.8,1805.7459893048128
Millennium Challenge Corporation,1.0,163500.0,163500.0,58,40.5,58.0,2818.9655172413795
Office of National Drug Control Policy,1.45,190763.7,190763.7,49,13.0,33.793103448275865,3893.1367346938778
U.S. Interagency Council on Homelessness,0.5,25000.0,25000.0,17,93.0,34.0,1470.5882352941176
Office of Pandemic Preparedness and Response Policy,0.1,0.0,0.0,0,,0.0,
United States Trade and Development Agency,0.6,20000.0,20000.0,83,26.5,138.33333333333334,240.96385542168676
Selective Service System,1.0,59280.0,59280.0,73,5.0,73.0,812.054794520548
Court Services and Offender Supervision Agency,3.0,326155.0,326155.0,596,1.0,198.66666666666666,547.239932885906
Nuclear Regulatory Commission,14.0,1949481.89,1949481.89,461,8.0,32.92857142857143,4228.811041214751
Federal Reserve System,14.0,1384978.8,1576402.5,1072,2.0,76.57142857142857,1291.9578358208955
National Labor Relations Board,17.23,1936720.0,2140776.0,2588,8.0,150.20313406848518,748.3462132921175
U.S. Agency for International Development,25.75,5567373.1,5603686.26,688,34.0,26.718446601941746,8092.112063953487
Department of Transportation,147.16,17110990.0,17283209.0,16080,25.0,109.26882304974178,1064.1162935323382
Social Security Advisory Board,0.01,500.0,500.0,44,10.0,4400.0,11.363636363636363
Institute of Museum and Library Services,0.75,51000.0,51000.0,176,3.0,234.66666666666666,289.77272727272725
Federal Maritime Commission,1.35,332991.74,332991.74,75,41.0,55.55555555555555,4439.889866666666
Harry S. Truman Scholarship Foundation,0.02,4000.0,4000.0,23,6.0,1150.0,173.91304347826087
Neighborhood Reinvestment Corporation,0.35,47065.0,47065.0,48,45.0,137.14285714285714,980.5208333333334
Department of Defense,958.35,99244812.24,104929736.0,57662,6.0,60.16799707831168,1721.1475883597516
Federal Mediation and Conciliation Service,1.0,9589.63,9589.63,94,10.0,94.0,102.01734042553191
Advisory Council on Historic Preservation,1.0,96000.0,96000.0,33,65.0,33.0,2909.090909090909
Federal Financial Institutions Examination Council,0.1,2080.0,2080.0,48,26.0,480.0,43.333333333333336
Securities and Exchange Commission,37.22,13277679.0,14119626.0,10985,4.0,295.13702310585705,1208.7099681383704
Office of the Intellectual Property Enforcement Coordinator,0.03,6515.0,6515.0,43,3.0,1433.3333333333335,151.51162790697674
Equal Employment Opportunity Commission,45.37,4947358.21,4948958.21,18334,8.0,404.0996253030637,269.8460897785535
Administrative Conference of the United States,0.15,78200.0,78200.0,145,1.0,966.6666666666667,539.3103448275862
Appraisal Subcommittee,0.5,19701.0,19701.0,44,11.0,88.0,447.75
Office of the Director of National Intelligence,17.5,2619221.0,2903141.0,390,15.5,22.285714285714285,6715.951282051282
Federal Trade Commission,24.0,1745769.0,2363062.0,1919,3.0,79.95833333333333,909.7285044293903
Department of Commerce,89.15,11232659.65,11542040.71,3410,7.0,38.25014021312395,3294.0350879765397
Department of Housing and Urban Development,97.05,139158.58,143188.58,3102,6.0,31.962905718701702,44.8609219858156
Gulf Coast Ecosystem Restoration Council,0.01,3500.0,3500.0,11,1.0,1100.0,318.1818181818182
Pension Benefit Guaranty Corporation,16.0,2106495.12,2106495.12,2773,10.0,173.3125,759.6448323115759
United States Access Board,0.5,63752.0,63752.0,41,15.0,82.0,1554.9268292682927
Department of the Treasury,196.2,26902809.55,28508903.94,12687,2.0,64.66360856269114,2120.502053282888
Department of Homeland Security,809.0,92629128.92,93572679.73,894939,3.0,1106.2286773794808,103.50328784419943
Committee for Purchase from People Who Are Blind or Severely Disabled,0.2,28800.0,28800.0,47,88.0,235.0,612.7659574468086
United States International Trade Commission,1.0,2200.0,2200.0,173,18.0,173.0,12.716763005780347
Environmental Protection Agency,251.7,46771300.0,46850550.0,7134,10.0,28.34326579261025,6556.111578357163
Marine Mammal Commission,0.05,10000.0,10000.0,70,22.0,1400.0,142.85714285714286
Department of Labor,142.49,18030082.0,18773378.0,14856,7.0,104.25994806653098,1213.6565697361336
U.S. Nuclear Waste Technical Review Board,0.05,3520.0,3520.0,1,19.0,20.0,3520.0
United States Postal Service,22.0,2179278.0,2184871.0,4203,3.0,191.04545454545453,518.5053533190578
Occupational Safety and Health Review Commission,2.09,384270.59,384270.59,235,1.0,112.44019138755982,1635.1940000000002
Tennessee Valley Authority,1.7,360242.45,715949.52,264,18.0,155.29411764705884,1364.554734848485
Farm Credit Administration,0.3,80000.0,80100.0,75,16.0,250.0,1066.6666666666667
National Railroad Passenger Corporation,2.0,179000.0,179000.0,910,7.05,455.0,196.7032967032967
Office of Personnel Management,12.0,1559799.0,1559799.0,783,10.0,65.25,1992.0804597701149
National Endowment for the Humanities,0.66,60000.0,60000.0,62,9.5,93.93939393939394,967.741935483871
Legal Services Corporation,0.83,46627.0,46627.0,56,78.0,67.46987951807229,832.625
Inter-American Foundation,0.5,15000.0,15000.0,48,69.0,96.0,312.5
Federal Election Commission,2.0,300611.0,601222.0,318,,159.0,945.3176100628931
Denali Commission,1.0,1000.0,1000.0,34,3.0,34.0,29.41176470588235
James Madison Memorial Fellowship Foundation,0.1,112.0,112.0,15,58.0,150.0,7.466666666666667
Consumer Product Safety Commission,4.75,675874.0,677874.0,701,8.0,147.57894736842104,964.1569186875892
Presidio Trust,0.25,67672.0,67672.0,46,45.0,184.0,1471.1304347826087
Postal Regulatory Commission,2.0,275000.0,275000.0,216,2.0,108.0,1273.148148148148
U.S. Department of State,264.0,33248019.0,35275355.0,20775,10.0,78.69318181818181,1600.3859927797835
Federal Housing Finance Agency,2.4,527373.23,569394.39,160,13.0,66.66666666666667,3296.0826875
Small Business Administration,190.68,19964.0,334964.0,7092,4.0,37.19320327249842,2.8150028200789623
Federal Mine Safety and Health Review Commission,1.0,169170.5,169170.5,98,1.0,98.0,1726.2295918367347
Office of Government Ethics,2.4,443224.11,443224.11,133,9.0,55.41666666666667,3332.512105263158
Office of the Special Inspector General for Afghanistan Reconstruction,1.0,30000.0,30000.0,51,68.0,51.0,588.2352941176471
National Transportation Safety Board,6.0,893236.06,893236.06,561,11.0,93.5,1592.2211408199644
Department of Veterans Affairs,367.38,22037197.79,22450495.79,119453,2.0,325.14834775981274,184.48425564866517
United States Institute of Peace,0.1,11000.0,11000.0,21,151.0,210.0,523.8095238095239
National Mediation Board,1.0,80000.0,80000.0,68,6.0,68.0,1176.4705882352941
Chemical Safety and Hazard Investigation Board,0.45,94776.81,94776.81,261,264.5,580.0,363.12954022988504
National Archives and Records Administration,43.45,1632400.0,1658400.0,23893,3.0,549.8964326812428,68.32126564265684
Department of Education,109.61,9992162.04,10654661.95,3119,8.0,28.45543289845817,3203.6428470663673
National Endowment for the Arts,1.1,127000.0,127000.0,155,20.0,140.9090909090909,819.3548387096774
National Council on Disability,0.4,40000.0,40000.0,23,19.0,57.5,1739.1304347826087
National Aeronautics and Space Administration,10.9,1613306.27,1628306.27,1459,2.0,133.85321100917432,1105.7616655243316
Export-Import Bank of the U.S.,4.6,663322.3,663322.3,159,8.0,34.56521739130435,4171.838364779875
Privacy and Civil Liberties Oversight Board,0.5,86050.0,86050.0,69,17.0,138.0,1247.1014492753623
Defense Nuclear Facilities Safety Board,2.0,500000.0,500000.0,52,61.0,26.0,9615.384615384615
Farm Credit System Insurance Corporation,0.25,50000.0,50000.0,53,15.0,212.0,943.3962264150944
United States International Boundary and Water Commission,0.75,50000.0,125000.0,25,9.5,33.333333333333336,2000.0
Office of Management and Budget,11.0,1776756.58,1787637.83,493,112.0,44.81818181818182,3603.9687221095337
National Capital Planning Commission,0.01,4850.0,4850.0,41,10.0,4100.0,118.29268292682927
Central Intelligence Agency,50.73,4699177.32,6534398.57,2603,10.0,51.31086142322098,1805.2928620822129
Merit Systems Protection Board,2.21,305986.4,305986.4,184,3.0,83.2579185520362,1662.9695652173914
Council on Environmental Quality,4.55,411612.0,575981.0,348,28.0,76.48351648351648,1182.7931034482758
Commodity Futures Trading Commission,3.5,783674.63,783674.63,430,1.0,122.85714285714286,1822.4991395348836
National Indian Gaming Commission,1.0,160000.0,160000.0,83,2.0,83.0,1927.710843373494
United States African Development Foundation,2.0,50.0,50.0,7,90.0,3.5,7.142857142857143
Office of the United States Trade Representative,0.9,161000.0,161000.0,112,20.0,124.44444444444444,1437.5
Social Security Administration,32.0,3229480.08,3382503.08,11354,12.0,354.8125,284.43544830015855
Armed Forces Retirement Home,1.0,23500.0,23500.0,36,19.0,36.0,652.7777777777778
General Services Administration,20.35,2173655.5,2173655.5,1632,28.0,80.19656019656018,1331.8967524509803
Department of the Interior,132.9,17427312.0,18420843.0,8426,20.0,63.401053423626784,2068.278186565393
Peace Corps,11.5,1085990.0,1085990.0,331,2.0,28.782608695652176,3280.9365558912386
Department of Agriculture,246.46,21386060.64,23377308.99,21113,1.0,85.66501663555952,1012.9332941789419
U.S. Agency for Global Media,1.5,224696.0,224696.0,191,2.0,127.33333333333333,1176.4188481675392
Federal Permitting Improvement Steering Council,0.5,124500.0,124500.0,52,17.0,104.0,2394.230769230769
U.S. Railroad Retirement Board,0.84,147967.26,147967.26,121,15.5,144.04761904761907,1222.869917355372
Federal Retirement Thrift Investment Board,1.3,119037.0,119037.0,116,37.0,89.23076923076923,1026.1810344827586
U.S. International Development Finance Corporation,2.2,312456.0,312456.0,45,23.0,20.454545454545453,6943.466666666666
