"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","8","30"
"Department of Justice","Agency Overall","2024","43927","21567"
"American Battle Monuments Commission","Agency Overall","2024","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","94","72"
"Office of Special Counsel","Agency Overall","2024","20","60"
"Commission of Fine Arts","Agency Overall","2024","0","0"
"United States Copyright Office","Agency Overall","2024","6","7"
"Office of Science and Technology Policy","Agency Overall","2024","172","196"
"Federal Open Market Committee","Agency Overall","2024","0","31"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","0","64"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","40","146"
"Office of the National Cyber Director","Agency Overall","2024","0","223"
"Department of Health and Human Services","Agency Overall","2024","11256","12685"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","1","18"
"Surface Transportation Board","Agency Overall","2024","0","0"
"Department of Energy","Agency Overall","2024","892","1629"
"Consumer Financial Protection Bureau","Agency Overall","2024","37","142"
"Federal Labor Relations Authority","Agency Overall","2024","35","0"
"U.S. Election Assistance Commission","Agency Overall","2024","166","243"
"Federal Communications Commission","Agency Overall","2024","35","49"
"Federal Deposit Insurance Corporation","Agency Overall","2024","123","252"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","1","0"
"National Credit Union Administration","Agency Overall","2024","0","1"
"National Science Foundation","Agency Overall","2024","644","784"
"Millennium Challenge Corporation","Agency Overall","2024","8","1"
"Office of National Drug Control Policy","Agency Overall","2024","5","47"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","0","26"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0"
"United States Trade and Development Agency","Agency Overall","2024","14","15"
"Selective Service System","Agency Overall","2024","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","0","0"
"Nuclear Regulatory Commission","Agency Overall","2024","96","97"
"Federal Reserve System","Agency Overall","2024","36","47"
"National Labor Relations Board","Agency Overall","2024","6","26"
"U.S. Agency for International Development","Agency Overall","2024","401","590"
"Department of Transportation","Agency Overall","2024","5913","8048"
"Social Security Advisory Board","Agency Overall","2024","2","0"
"Institute of Museum and Library Services","Agency Overall","2024","0","0"
"Federal Maritime Commission","Agency Overall","2024","7","28"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","0","31"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","7","12"
"Department of Defense","Agency Overall","2024","19882","21436"
"Federal Mediation and Conciliation Service","Agency Overall","2024","0","1"
"Advisory Council on Historic Preservation","Agency Overall","2024","15","120"
"Federal Financial Institutions Examination Council","Agency Overall","2024","1","3"
"Securities and Exchange Commission","Agency Overall","2024","819","475"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2024","53","49"
"Administrative Conference of the United States","Agency Overall","2024","0","0"
"Appraisal Subcommittee","Agency Overall","2024","0","0"
"Office of the Director of National Intelligence","Agency Overall","2024","658","747"
"Federal Trade Commission","Agency Overall","2024","37","38"
"Department of Commerce","Agency Overall","2024","1083","1410"
"Department of Housing and Urban Development","Agency Overall","2024","555","721"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","0","0"
"United States Access Board","Agency Overall","2024","1","0"
"Department of the Treasury","Agency Overall","2024","2468","2791"
"Department of Homeland Security","Agency Overall","2024","63883","141420"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","3","18"
"United States International Trade Commission","Agency Overall","2024","17","102"
"Environmental Protection Agency","Agency Overall","2024","1318","1564"
"Marine Mammal Commission","Agency Overall","2024","4","6"
"Department of Labor","Agency Overall","2024","1468","2094"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","3","41"
"United States Postal Service","Agency Overall","2024","136","201"
"Occupational Safety and Health Review Commission","Agency Overall","2024","1","13"
"Tennessee Valley Authority","Agency Overall","2024","35","34"
"Farm Credit Administration","Agency Overall","2024","0","3"
"National Railroad Passenger Corporation","Agency Overall","2024","159","4"
"Office of Personnel Management","Agency Overall","2024","98","212"
"National Endowment for the Humanities","Agency Overall","2024","7","8"
"Legal Services Corporation","Agency Overall","2024","1","17"
"Inter-American Foundation","Agency Overall","2024","2","9"
"Federal Election Commission","Agency Overall","2024","1","6"
"Denali Commission","Agency Overall","2024","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","5","44"
"Consumer Product Safety Commission","Agency Overall","2024","197","251"
"Presidio Trust","Agency Overall","2024","0","0"
"Postal Regulatory Commission","Agency Overall","2024","7","7"
"U.S. Department of State","Agency Overall","2024","21619","21615"
"Federal Housing Finance Agency","Agency Overall","2024","51","98"
"Small Business Administration","Agency Overall","2024","784","413"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","3","8"
"Office of Government Ethics","Agency Overall","2024","0","27"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","11","12"
"National Transportation Safety Board","Agency Overall","2024","96","226"
"Department of Veterans Affairs","Agency Overall","2024","11503","1539"
"United States Institute of Peace","Agency Overall","2024","7","67"
"National Mediation Board","Agency Overall","2024","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","70","127"
"National Archives and Records Administration","Agency Overall","2024","6410","5107"
"Department of Education","Agency Overall","2024","1978","2485"
"National Endowment for the Arts","Agency Overall","2024","0","0"
"National Council on Disability","Agency Overall","2024","2","25"
"National Aeronautics and Space Administration","Agency Overall","2024","32","39"
"Export-Import Bank of the U.S.","Agency Overall","2024","22","37"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","9","89"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","2","54"
"Farm Credit System Insurance Corporation","Agency Overall","2024","0","1"
"United States International Boundary and Water Commission","Agency Overall","2024","54","110"
"Office of Management and Budget","Agency Overall","2024","526","909"
"National Capital Planning Commission","Agency Overall","2024","0","0"
"Central Intelligence Agency","Agency Overall","2024","3844","4879"
"Merit Systems Protection Board","Agency Overall","2024","96","127"
"Council on Environmental Quality","Agency Overall","2024","27","83"
"Commodity Futures Trading Commission","Agency Overall","2024","4","11"
"National Indian Gaming Commission","Agency Overall","2024","5","4"
"United States African Development Foundation","Agency Overall","2024","0","31"
"Office of the United States Trade Representative","Agency Overall","2024","6","32"
"Social Security Administration","Agency Overall","2024","251","608"
"Armed Forces Retirement Home","Agency Overall","2024","1","0"
"General Services Administration","Agency Overall","2024","396","354"
"Department of the Interior","Agency Overall","2024","4320","4412"
"Peace Corps","Agency Overall","2024","63","35"
"Department of Agriculture","Agency Overall","2024","1972","2270"
"U.S. Agency for Global Media","Agency Overall","2024","7","1"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2024","0","8"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","26","33"
"U.S. International Development Finance Corporation","Agency Overall","2024","66","102"
"All agencies","Agency Overall","2024","211132","266990"