"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","58","98","49","75"
"Department of Justice","Agency Overall","2024","110934","132527","144065","157180"
"American Battle Monuments Commission","Agency Overall","2024","27","38","27","38"
"Federal Energy Regulatory Commission","Agency Overall","2024","138","130","94","157"
"Office of Special Counsel","Agency Overall","2024","118","243","103","170"
"Commission of Fine Arts","Agency Overall","2024","25","91","25","91"
"United States Copyright Office","Agency Overall","2024","47","79","40","72"
"Office of Science and Technology Policy","Agency Overall","2024","64","212","45","178"
"Federal Open Market Committee","Agency Overall","2024","29","90","20","64"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","26","96","18","20"
"U.S. Commission on Civil Rights","Agency Overall","2024","58","140","50","84"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","130","207","108","100"
"Office of the National Cyber Director","Agency Overall","2024","6","378","6","155"
"Department of Health and Human Services","Agency Overall","2024","46530","51800","47038","49271"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","20","73","19","56"
"Surface Transportation Board","Agency Overall","2024","116","89","109","99"
"Department of Energy","Agency Overall","2024","2155","4283","1790","3250"
"Consumer Financial Protection Bureau","Agency Overall","2024","510","964","537","834"
"Federal Labor Relations Authority","Agency Overall","2024","222","158","158","204"
"U.S. Election Assistance Commission","Agency Overall","2024","50","98","91","42"
"Federal Communications Commission","Agency Overall","2024","586","977","535","984"
"Federal Deposit Insurance Corporation","Agency Overall","2024","826","1028","685","873"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","28","73","27","74"
"National Credit Union Administration","Agency Overall","2024","159","409","153","384"
"National Science Foundation","Agency Overall","2024","339","424","158","374"
"Millennium Challenge Corporation","Agency Overall","2024","54","81","46","58"
"Office of National Drug Control Policy","Agency Overall","2024","40","92","36","49"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","7","37","1","17"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2024","39","85","80","83"
"Selective Service System","Agency Overall","2024","49","73","49","73"
"Court Services and Offender Supervision Agency","Agency Overall","2024","354","588","342","596"
"Nuclear Regulatory Commission","Agency Overall","2024","236","664","207","461"
"Federal Reserve System","Agency Overall","2024","772","1098","739","1072"
"National Labor Relations Board","Agency Overall","2024","2198","2837","2236","2588"
"U.S. Agency for International Development","Agency Overall","2024","338","984","334","688"
"Department of Transportation","Agency Overall","2024","17136","18345","16458","16080"
"Social Security Advisory Board","Agency Overall","2024","21","44","19","44"
"Institute of Museum and Library Services","Agency Overall","2024","41","176","41","176"
"Federal Maritime Commission","Agency Overall","2024","42","103","39","75"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","27","54","27","23"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","29","47","16","48"
"Department of Defense","Agency Overall","2024","60109","61858","55731","57662"
"Federal Mediation and Conciliation Service","Agency Overall","2024","46","100","49","94"
"Advisory Council on Historic Preservation","Agency Overall","2024","27","153","12","33"
"Federal Financial Institutions Examination Council","Agency Overall","2024","25","45","18","48"
"Securities and Exchange Commission","Agency Overall","2024","9481","10811","9022","10985"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","26","43","26","43"
"Equal Employment Opportunity Commission","Agency Overall","2024","15929","18083","14703","18334"
"Administrative Conference of the United States","Agency Overall","2024","43","145","43","145"
"Appraisal Subcommittee","Agency Overall","2024","34","45","29","44"
"Office of the Director of National Intelligence","Agency Overall","2024","386","504","269","390"
"Federal Trade Commission","Agency Overall","2024","1820","1938","1812","1919"
"Department of Commerce","Agency Overall","2024","2241","4048","2093","3410"
"Department of Housing and Urban Development","Agency Overall","2024","1909","3324","1932","3102"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","12","11","12","11"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","2682","2733","2643","2773"
"United States Access Board","Agency Overall","2024","20","42","19","41"
"Department of the Treasury","Agency Overall","2024","10782","13303","10550","12687"
"Department of Homeland Security","Agency Overall","2024","674856","911535","580205","894939"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","51","65","46","47"
"United States International Trade Commission","Agency Overall","2024","32","271","27","173"
"Environmental Protection Agency","Agency Overall","2024","6588","7551","6777","7134"
"Marine Mammal Commission","Agency Overall","2024","56","57","34","70"
"Department of Labor","Agency Overall","2024","14282","15833","14219","14856"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","13","42","6","1"
"United States Postal Service","Agency Overall","2024","4168","4429","4104","4203"
"Occupational Safety and Health Review Commission","Agency Overall","2024","150","242","137","235"
"Tennessee Valley Authority","Agency Overall","2024","206","262","177","264"
"Farm Credit Administration","Agency Overall","2024","58","75","48","75"
"National Railroad Passenger Corporation","Agency Overall","2024","364","738","550","910"
"Office of Personnel Management","Agency Overall","2024","581","968","586","783"
"National Endowment for the Humanities","Agency Overall","2024","38","65","30","62"
"Legal Services Corporation","Agency Overall","2024","29","68","22","56"
"Inter-American Foundation","Agency Overall","2024","23","53","19","48"
"Federal Election Commission","Agency Overall","2024","92","351","88","318"
"Denali Commission","Agency Overall","2024","18","34","18","34"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","18","57","4","15"
"Consumer Product Safety Commission","Agency Overall","2024","601","783","844","701"
"Presidio Trust","Agency Overall","2024","16","47","16","46"
"Postal Regulatory Commission","Agency Overall","2024","91","219","80","216"
"U.S. Department of State","Agency Overall","2024","15713","22306","12576","20775"
"Federal Housing Finance Agency","Agency Overall","2024","117","217","84","160"
"Small Business Administration","Agency Overall","2024","4381","6813","4133","7092"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","63","106","54","98"
"Office of Government Ethics","Agency Overall","2024","112","165","113","133"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","46","49","26","51"
"National Transportation Safety Board","Agency Overall","2024","558","703","602","561"
"Department of Veterans Affairs","Agency Overall","2024","87045","105725","73014","119453"
"United States Institute of Peace","Agency Overall","2024","18","71","3","21"
"National Mediation Board","Agency Overall","2024","31","66","29","68"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","197","138","61","261"
"National Archives and Records Administration","Agency Overall","2024","62505","22590","66064","23893"
"Department of Education","Agency Overall","2024","2816","4560","2385","3119"
"National Endowment for the Arts","Agency Overall","2024","62","180","50","155"
"National Council on Disability","Agency Overall","2024","8","64","5","23"
"National Aeronautics and Space Administration","Agency Overall","2024","1005","1560","1003","1459"
"Export-Import Bank of the U.S.","Agency Overall","2024","108","165","94","159"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","50","130","39","69"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","48","110","37","52"
"Farm Credit System Insurance Corporation","Agency Overall","2024","30","51","24","53"
"United States International Boundary and Water Commission","Agency Overall","2024","51","79","26","25"
"Office of Management and Budget","Agency Overall","2024","315","994","362","493"
"National Capital Planning Commission","Agency Overall","2024","26","41","26","41"
"Central Intelligence Agency","Agency Overall","2024","2426","4087","1567","2603"
"Merit Systems Protection Board","Agency Overall","2024","221","219","167","184"
"Council on Environmental Quality","Agency Overall","2024","122","420","132","348"
"Commodity Futures Trading Commission","Agency Overall","2024","290","443","291","430"
"National Indian Gaming Commission","Agency Overall","2024","55","74","45","83"
"United States African Development Foundation","Agency Overall","2024","0","40","0","7"
"Office of the United States Trade Representative","Agency Overall","2024","66","136","62","112"
"Social Security Administration","Agency Overall","2024","10130","12582","10305","11354"
"Armed Forces Retirement Home","Agency Overall","2024","12","35","12","36"
"General Services Administration","Agency Overall","2024","1723","1661","1510","1632"
"Department of the Interior","Agency Overall","2024","7085","8305","7388","8426"
"Peace Corps","Agency Overall","2024","265","320","301","331"
"Department of Agriculture","Agency Overall","2024","16605","24722","16242","21113"
"U.S. Agency for Global Media","Agency Overall","2024","120","173","178","191"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","12","60","13","52"
"U.S. Railroad Retirement Board","Agency Overall","2024","80","124","74","121"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","99","123","76","116"
"U.S. International Development Finance Corporation","Agency Overall","2024","50","81","30","45"
"All agencies","Agency Overall","2024","1207153","1501432","1122823","1499265"