"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","0","8","8","0"
"Department of Justice","Agency Overall","2024","743","1780","1881","642"
"American Battle Monuments Commission","Agency Overall","2024","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","1","10","11","0"
"Office of Special Counsel","Agency Overall","2024","0","9","9","0"
"Commission of Fine Arts","Agency Overall","2024","0","0","0","0"
"United States Copyright Office","Agency Overall","2024","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2024","0","82","82","0"
"Federal Open Market Committee","Agency Overall","2024","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","0","7","7","0"
"Office of the National Cyber Director","Agency Overall","2024","0","3","3","0"
"Department of Health and Human Services","Agency Overall","2024","149","625","523","251"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","1","1","0"
"Surface Transportation Board","Agency Overall","2024","0","1","1","0"
"Department of Energy","Agency Overall","2024","174","214","182","206"
"Consumer Financial Protection Bureau","Agency Overall","2024","0","15","11","4"
"Federal Labor Relations Authority","Agency Overall","2024","0","2","2","0"
"U.S. Election Assistance Commission","Agency Overall","2024","1","1","2","0"
"Federal Communications Commission","Agency Overall","2024","0","12","12","0"
"Federal Deposit Insurance Corporation","Agency Overall","2024","7","28","18","17"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0","0","0"
"National Credit Union Administration","Agency Overall","2024","0","12","12","0"
"National Science Foundation","Agency Overall","2024","13","14","9","18"
"Millennium Challenge Corporation","Agency Overall","2024","0","2","2","0"
"Office of National Drug Control Policy","Agency Overall","2024","0","5","5","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","0","0","0","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","10","10","0"
"United States Trade and Development Agency","Agency Overall","2024","0","3","2","1"
"Selective Service System","Agency Overall","2024","0","2","2","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2024","0","8","8","0"
"Federal Reserve System","Agency Overall","2024","3","26","29","0"
"National Labor Relations Board","Agency Overall","2024","0","5","3","2"
"U.S. Agency for International Development","Agency Overall","2024","8","46","51","3"
"Department of Transportation","Agency Overall","2024","42","109","114","37"
"Social Security Advisory Board","Agency Overall","2024","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2024","0","3","3","0"
"Federal Maritime Commission","Agency Overall","2024","0","2","2","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","0","1","1","0"
"Department of Defense","Agency Overall","2024","1357","1975","1816","1516"
"Federal Mediation and Conciliation Service","Agency Overall","2024","1","6","7","0"
"Advisory Council on Historic Preservation","Agency Overall","2024","0","1","1","0"
"Federal Financial Institutions Examination Council","Agency Overall","2024","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2024","3","21","23","1"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","1","1","0"
"Equal Employment Opportunity Commission","Agency Overall","2024","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2024","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2024","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2024","22","100","99","23"
"Federal Trade Commission","Agency Overall","2024","0","15","15","0"
"Department of Commerce","Agency Overall","2024","48","176","160","64"
"Department of Housing and Urban Development","Agency Overall","2024","3","48","49","2"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","0","7","7","0"
"United States Access Board","Agency Overall","2024","0","2","2","0"
"Department of the Treasury","Agency Overall","2024","40","230","219","51"
"Department of Homeland Security","Agency Overall","2024","480","736","746","470"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","0","0","0","0"
"United States International Trade Commission","Agency Overall","2024","0","4","4","0"
"Environmental Protection Agency","Agency Overall","2024","4","86","85","5"
"Marine Mammal Commission","Agency Overall","2024","0","5","5","0"
"Department of Labor","Agency Overall","2024","7","88","84","11"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","0","0","0","0"
"United States Postal Service","Agency Overall","2024","1","38","39","0"
"Occupational Safety and Health Review Commission","Agency Overall","2024","0","1","1","0"
"Tennessee Valley Authority","Agency Overall","2024","0","0","0","0"
"Farm Credit Administration","Agency Overall","2024","0","1","1","0"
"National Railroad Passenger Corporation","Agency Overall","2024","0","5","5","0"
"Office of Personnel Management","Agency Overall","2024","3","21","23","1"
"National Endowment for the Humanities","Agency Overall","2024","0","4","4","0"
"Legal Services Corporation","Agency Overall","2024","0","0","0","0"
"Inter-American Foundation","Agency Overall","2024","0","0","0","0"
"Federal Election Commission","Agency Overall","2024","0","2","2","0"
"Denali Commission","Agency Overall","2024","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2024","1","1","2","0"
"Presidio Trust","Agency Overall","2024","0","1","1","0"
"Postal Regulatory Commission","Agency Overall","2024","0","0","0","0"
"U.S. Department of State","Agency Overall","2024","251","241","267","225"
"Federal Housing Finance Agency","Agency Overall","2024","0","7","7","0"
"Small Business Administration","Agency Overall","2024","0","19","19","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","0","3","3","0"
"Office of Government Ethics","Agency Overall","2024","0","14","14","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","1","0","1","0"
"National Transportation Safety Board","Agency Overall","2024","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2024","4","23","26","1"
"United States Institute of Peace","Agency Overall","2024","0","1","1","0"
"National Mediation Board","Agency Overall","2024","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2024","1","23","23","1"
"Department of Education","Agency Overall","2024","0","42","39","3"
"National Endowment for the Arts","Agency Overall","2024","0","5","5","0"
"National Council on Disability","Agency Overall","2024","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2024","1","18","18","1"
"Export-Import Bank of the U.S.","Agency Overall","2024","1","4","5","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","0","6","6","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2024","0","1","0","1"
"United States International Boundary and Water Commission","Agency Overall","2024","0","1","0","1"
"Office of Management and Budget","Agency Overall","2024","11","306","302","15"
"National Capital Planning Commission","Agency Overall","2024","0","1","1","0"
"Central Intelligence Agency","Agency Overall","2024","296","316","152","460"
"Merit Systems Protection Board","Agency Overall","2024","0","3","3","0"
"Council on Environmental Quality","Agency Overall","2024","0","116","109","7"
"Commodity Futures Trading Commission","Agency Overall","2024","0","17","17","0"
"National Indian Gaming Commission","Agency Overall","2024","0","0","0","0"
"United States African Development Foundation","Agency Overall","2024","0","3","3","0"
"Office of the United States Trade Representative","Agency Overall","2024","0","22","22","0"
"Social Security Administration","Agency Overall","2024","1","20","19","2"
"Armed Forces Retirement Home","Agency Overall","2024","0","0","0","0"
"General Services Administration","Agency Overall","2024","8","54","59","3"
"Department of the Interior","Agency Overall","2024","25","155","161","19"
"Peace Corps","Agency Overall","2024","1","18","19","0"
"Department of Agriculture","Agency Overall","2024","11","209","186","34"
"U.S. Agency for Global Media","Agency Overall","2024","1","7","8","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","0","7","6","1"
"U.S. Railroad Retirement Board","Agency Overall","2024","0","3","3","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","0","2","2","0"
"U.S. International Development Finance Corporation","Agency Overall","2024","0","6","5","1"
"All agencies","Agency Overall","2024","3724","8294","7918","4100"