"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Justice","Agency Overall","2024","2020-11-25","959","2020-11-16","966","2020-04-24","1107","2020-04-23","1108","2020-03-04","1144","2020-01-23","1172","2020-01-16","1176","2019-12-30","1188","2019-12-30","1188","2019-06-24","1316"
"American Battle Monuments Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Special Counsel","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Commission of Fine Arts","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","N/A","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Open Market Committee","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the National Cyber Director","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Health and Human Services","Agency Overall","2024","2020-09-29","999","2020-05-26","1087","2020-05-20","1090","2020-02-21","1153","2020-01-23","1173","2019-12-10","1201","2019-11-19","1215","2019-10-25","1231","2019-06-14","1323","2019-04-17","1364"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Surface Transportation Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2024","2021-09-30","751","2021-08-11","786","2020-10-15","992","2020-04-15","1119","2020-02-05","1168","2019-08-06","1292","2018-05-31","1571","2018-05-07","1588","2017-07-24","1803","2015-09-29","2258"
"Consumer Financial Protection Bureau","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-10","14","2024-09-10","14","2024-08-09","35","2024-07-05","60"
"Federal Labor Relations Authority","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Election Assistance Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Communications Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2024","2024-04-29","106","2024-03-27","129","2024-03-01","146","2024-01-11","181","2024-01-10","182","2023-09-27","252","2023-08-21","278","2023-08-02","291","2023-07-10","308","2023-06-15","323"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2024","2023-09-27","251","2023-06-05","330","2023-04-13","366","2023-03-01","397","2023-02-08","411","2023-01-25","421","2022-10-11","489","2021-12-13","702","2021-12-03","781","2021-08-06","882"
"Millennium Challenge Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Trade and Development Agency","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-25","9"
"Selective Service System","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Reserve System","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Labor Relations Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-06","16","2024-08-29","21"
"U.S. Agency for International Development","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-26","2","2024-09-24","4","2024-08-28","22"
"Department of Transportation","Agency Overall","2024","2023-02-03","415","2022-11-16","468","2022-10-28","480","2022-10-14","490","2022-01-27","671","2020-05-12","1099","2020-04-30","1107","2020-04-14","1119","2020-01-09","1185","2019-10-17","1241"
"Social Security Advisory Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Maritime Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Defense","Agency Overall","2024","2016-08-01","2043","2016-07-12","2057","2016-06-14","2076","2016-01-07","2186","2016-01-05","2188","2015-12-24","2194","2015-10-27","2234","2015-09-23","2257","2014-11-14","2472","2013-12-19","2699"
"Federal Mediation and Conciliation Service","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Advisory Council on Historic Preservation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Financial Institutions Examination Council","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Securities and Exchange Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-07-30","44"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Administrative Conference of the United States","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Appraisal Subcommittee","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Director of National Intelligence","Agency Overall","2024","2023-12-04","208","2023-11-09","222","2023-10-26","231","2023-10-10","243","2023-09-20","256","2023-07-13","304","2023-03-10","390","2023-01-24","422","2023-01-12","429","2022-02-01","663"
"Federal Trade Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Commerce","Agency Overall","2024","2022-06-03","581","2022-05-03","603","2022-04-26","608","2022-04-13","617","2021-09-16","756","2021-03-31","878","2020-10-27","983","2020-04-16","1117","2019-03-29","1381","2019-02-28","1402"
"Department of Housing and Urban Development","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-03-21","133","2023-12-19","196"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Access Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Treasury","Agency Overall","2024","2021-06-23","820","2021-06-21","822","2021-05-18","844","2021-03-23","884","2020-12-04","955","2019-06-21","1319","2018-10-16","1489","2018-07-31","1542","2018-07-02","1562","2017-12-01","1708"
"Department of Homeland Security","Agency Overall","2024","2017-10-25","1734","2017-10-11","1819","2017-04-10","1872","2016-08-22","2029","2016-08-05","2040","2016-08-04","2041","2015-12-14","2296","2015-01-13","2434","2015-01-13","2434","2015-01-22","2528"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Trade Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Environmental Protection Agency","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-27","1","2024-09-25","3","2024-09-13","11","2024-09-09","15","2024-09-02","18"
"Marine Mammal Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Labor","Agency Overall","2024","2024-09-23","5","2024-09-16","10","2024-09-13","11","2024-09-04","18","2024-09-03","19","2024-09-03","19","2024-07-25","46","2023-11-01","228","2023-07-10","308","2019-07-18","1305"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Tennessee Valley Authority","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit Administration","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Personnel Management","Agency Overall","2024","N/A","0","2024-05-28","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-05-28","86"
"National Endowment for the Humanities","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Legal Services Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Election Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Denali Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Presidio Trust","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Department of State","Agency Overall","2024","2020-02-20","1158","2020-01-07","1188","2020-01-07","1188","2020-01-07","1188","2020-01-07","1188","2020-01-07","1188","2020-01-07","1188","2019-07-03","1315","2019-06-05","1335","2018-10-16","1494"
"Federal Housing Finance Agency","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Small Business Administration","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Government Ethics","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Transportation Safety Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Veterans Affairs","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-02-28","149"
"United States Institute of Peace","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Mediation Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Archives and Records Administration","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-07-01","64"
"Department of Education","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-26","2","2024-09-20","6","2024-08-28","22"
"National Endowment for the Arts","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Council on Disability","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-06","18"
"Export-Import Bank of the U.S.","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit System Insurance Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-08-19","31"
"United States International Boundary and Water Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-25","3"
"Office of Management and Budget","Agency Overall","2024","2024-09-24","4","2024-09-19","7","2024-09-17","9","2024-09-16","10","2024-09-16","10","2024-09-10","14","2024-09-09","15","2024-09-06","16","2024-07-31","42","2024-06-20","70"
"National Capital Planning Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Central Intelligence Agency","Agency Overall","2024","2017-08-17","1800","2017-08-01","1812","2017-07-13","1825","2017-06-27","1836","2017-06-15","1844","2017-05-30","1856","2017-03-02","1918","2016-11-08","1994","2015-12-22","2216","2015-11-25","2234"
"Merit Systems Protection Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council on Environmental Quality","Agency Overall","2024","N/A","0","N/A","0","N/A","0","2024-09-26","3","2024-09-25","4","2024-09-25","4","2024-09-25","4","2024-09-25","4","2024-07-05","61","2024-07-05","61"
"Commodity Futures Trading Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Indian Gaming Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States African Development Foundation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Administration","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-03","19","2023-06-13","324"
"Armed Forces Retirement Home","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-25","3","2024-09-19","7","2024-09-12","12"
"Department of the Interior","Agency Overall","2024","2024-09-06","16","2024-09-03","19","2024-08-28","22","2024-08-20","28","2024-08-13","33","2024-08-13","33","2024-06-18","71","2024-04-02","125","2024-01-12","180","2021-12-08","703"
"Peace Corps","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Agriculture","Agency Overall","2024","2024-04-16","115","2024-04-04","123","2024-02-29","148","2024-01-26","171","2024-01-18","177","2024-01-08","184","2024-11-29","210","2023-11-28","211","2023-10-03","248","2023-09-20","257"
"U.S. Agency for Global Media","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-24","5"
"U.S. Railroad Retirement Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. International Development Finance Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-30","1"