"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","28500.00","0.00","28500.00","0.00","0.0000"
"Department of Justice","Agency Overall","2024","94660721.33","17572989.99","112233711.32","36016.82","0.0400"
"American Battle Monuments Commission","Agency Overall","2024","15750.00","0.00","15750.00","0.00","0.0000"
"Federal Energy Regulatory Commission","Agency Overall","2024","1538457.00","0.00","1538457.00","0.00","0.0000"
"Office of Special Counsel","Agency Overall","2024","465000.00","93500.00","558500.00","0.00","0.0000"
"Commission of Fine Arts","Agency Overall","2024","12058.00","0.00","12058.00","0.00","0.0000"
"United States Copyright Office","Agency Overall","2024","80910.35","0.00","80910.35","0.00","0.0000"
"Office of Science and Technology Policy","Agency Overall","2024","496176.00","1750.00","497926.00","0.00","0.0000"
"Federal Open Market Committee","Agency Overall","2024","296781.00","0.00","296781.00","0.00","0.0000"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","2000.00","0.00","2000.00","0.00","0.0000"
"U.S. Commission on Civil Rights","Agency Overall","2024","70685.00","0.00","70685.00","0.00","0.0000"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","238090.28","92398.72","330489.00","0.00","0.0000"
"Office of the National Cyber Director","Agency Overall","2024","350000.00","0.00","350000.00","0.00","0.0000"
"Department of Health and Human Services","Agency Overall","2024","66145484.30","14151022.78","80296507.08","752786.04","1.1400"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","3973.00","0.00","3973.00","0.00","0.0000"
"Surface Transportation Board","Agency Overall","2024","58900.00","0.00","58900.00","827.00","1.4000"
"Department of Energy","Agency Overall","2024","9235075.68","881998.74","10117074.42","716.96","0.0100"
"Consumer Financial Protection Bureau","Agency Overall","2024","6131755.19","5000.00","6136755.19","3450.00","0.0600"
"Federal Labor Relations Authority","Agency Overall","2024","114518.80","0.00","114518.80","0.00","0.0000"
"U.S. Election Assistance Commission","Agency Overall","2024","27300.00","15200.00","42500.00","0.00","0.0000"
"Federal Communications Commission","Agency Overall","2024","2837928.50","25701.13","2863629.63","1449.28","0.0500"
"Federal Deposit Insurance Corporation","Agency Overall","2024","3104602.00","241981.00","3346583.00","2603.10","0.0800"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","1000.00","0.00","1000.00","0.00","0.0000"
"National Credit Union Administration","Agency Overall","2024","444686.00","0.00","444686.00","1134.50","0.2600"
"National Science Foundation","Agency Overall","2024","675349.00","0.00","675349.00","0.00","0.0000"
"Millennium Challenge Corporation","Agency Overall","2024","163500.00","0.00","163500.00","0.00","0.0000"
"Office of National Drug Control Policy","Agency Overall","2024","190763.70","0.00","190763.70","0.00","0.0000"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","25000.00","0.00","25000.00","0.00","0.0000"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0.00","0.00","0.00","0.00","0.0000"
"United States Trade and Development Agency","Agency Overall","2024","20000.00","0.00","20000.00","0.00","0.0000"
"Selective Service System","Agency Overall","2024","59280.00","0.00","59280.00","0.00","0.0000"
"Court Services and Offender Supervision Agency","Agency Overall","2024","326155.00","0.00","326155.00","112.00","0.0300"
"Nuclear Regulatory Commission","Agency Overall","2024","1949481.89","0.00","1949481.89","1164.62","0.0600"
"Federal Reserve System","Agency Overall","2024","1384978.80","191423.70","1576402.50","3835.75","0.2800"
"National Labor Relations Board","Agency Overall","2024","1936720.00","204056.00","2140776.00","21164.00","1.0900"
"U.S. Agency for International Development","Agency Overall","2024","5567373.10","36313.16","5603686.26","0.00","0.0000"
"Department of Transportation","Agency Overall","2024","17110990.00","172219.00","17283209.00","160242.29","0.9400"
"Social Security Advisory Board","Agency Overall","2024","500.00","0.00","500.00","0.00","0.0000"
"Institute of Museum and Library Services","Agency Overall","2024","51000.00","0.00","51000.00","0.00","0.0000"
"Federal Maritime Commission","Agency Overall","2024","332991.74","0.00","332991.74","0.00","0.0000"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","4000.00","0.00","4000.00","0.00","0.0000"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","47065.00","0.00","47065.00","0.00","0.0000"
"Department of Defense","Agency Overall","2024","99244812.24","5684923.76","104929736.00","74261.73","0.0700"
"Federal Mediation and Conciliation Service","Agency Overall","2024","9589.63","0.00","9589.63","79.92","0.8300"
"Advisory Council on Historic Preservation","Agency Overall","2024","96000.00","0.00","96000.00","0.00","0.0000"
"Federal Financial Institutions Examination Council","Agency Overall","2024","2080.00","0.00","2080.00","0.00","0.0000"
"Securities and Exchange Commission","Agency Overall","2024","13277679.00","841947.00","14119626.00","311.00","0.0000"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","6515.00","0.00","6515.00","0.00","0.0000"
"Equal Employment Opportunity Commission","Agency Overall","2024","4947358.21","1600.00","4948958.21","4533.02","0.0900"
"Administrative Conference of the United States","Agency Overall","2024","78200.00","0.00","78200.00","0.00","0.0000"
"Appraisal Subcommittee","Agency Overall","2024","19701.00","0.00","19701.00","0.00","0.0000"
"Office of the Director of National Intelligence","Agency Overall","2024","2619221.00","283920.00","2903141.00","0.00","0.0000"
"Federal Trade Commission","Agency Overall","2024","1745769.00","617293.00","2363062.00","14682.80","0.8400"
"Department of Commerce","Agency Overall","2024","11232659.65","309381.06","11542040.71","68564.97","0.6100"
"Department of Housing and Urban Development","Agency Overall","2024","139158.58","4030.00","143188.58","12281.06","8.8300"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","3500.00","0.00","3500.00","0.00","0.0000"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","2106495.12","0.00","2106495.12","3030.95","0.1400"
"United States Access Board","Agency Overall","2024","63752.00","0.00","63752.00","0.00","0.0000"
"Department of the Treasury","Agency Overall","2024","26902809.55","1606094.39","28508903.94","57287.33","0.2100"
"Department of Homeland Security","Agency Overall","2024","92629128.92","943550.81","93572679.73","28845.99","0.0300"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","28800.00","0.00","28800.00","0.00","0.0000"
"United States International Trade Commission","Agency Overall","2024","2200.00","0.00","2200.00","0.00","0.0000"
"Environmental Protection Agency","Agency Overall","2024","46771300.00","79250.00","46850550.00","149538.04","0.3200"
"Marine Mammal Commission","Agency Overall","2024","10000.00","0.00","10000.00","0.00","0.0000"
"Department of Labor","Agency Overall","2024","18030082.00","743296.00","18773378.00","179590.16","1.0000"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","3520.00","0.00","3520.00","0.00","0.0000"
"United States Postal Service","Agency Overall","2024","2179278.00","5593.00","2184871.00","15593.84","0.7200"
"Occupational Safety and Health Review Commission","Agency Overall","2024","384270.59","0.00","384270.59","0.00","0.0000"
"Tennessee Valley Authority","Agency Overall","2024","360242.45","355707.07","715949.52","1243.25","0.3500"
"Farm Credit Administration","Agency Overall","2024","80000.00","100.00","80100.00","300.00","0.3800"
"National Railroad Passenger Corporation","Agency Overall","2024","179000.00","0.00","179000.00","272.00","0.1500"
"Office of Personnel Management","Agency Overall","2024","1559799.00","0.00","1559799.00","12587.24","0.8100"
"National Endowment for the Humanities","Agency Overall","2024","60000.00","0.00","60000.00","0.00","0.0000"
"Legal Services Corporation","Agency Overall","2024","46627.00","0.00","46627.00","2633.98","5.6500"
"Inter-American Foundation","Agency Overall","2024","15000.00","0.00","15000.00","0.00","0.0000"
"Federal Election Commission","Agency Overall","2024","300611.00","300611.00","601222.00","0.00","0.0000"
"Denali Commission","Agency Overall","2024","1000.00","0.00","1000.00","0.00","0.0000"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","112.00","0.00","112.00","0.00","0.0000"
"Consumer Product Safety Commission","Agency Overall","2024","675874.00","2000.00","677874.00","813.59","0.1200"
"Presidio Trust","Agency Overall","2024","67672.00","0.00","67672.00","313.00","0.4600"
"Postal Regulatory Commission","Agency Overall","2024","275000.00","0.00","275000.00","0.00","0.0000"
"U.S. Department of State","Agency Overall","2024","33248019.00","2027336.00","35275355.00","0.00","0.0000"
"Federal Housing Finance Agency","Agency Overall","2024","527373.23","42021.16","569394.39","0.00","0.0000"
"Small Business Administration","Agency Overall","2024","19964.00","315000.00","334964.00","5766.00","28.8800"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","169170.50","0.00","169170.50","240.00","0.1400"
"Office of Government Ethics","Agency Overall","2024","443224.11","0.00","443224.11","0.00","0.0000"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","30000.00","0.00","30000.00","0.00","0.0000"
"National Transportation Safety Board","Agency Overall","2024","893236.06","0.00","893236.06","0.00","0.0000"
"Department of Veterans Affairs","Agency Overall","2024","22037197.79","413298.00","22450495.79","196475.70","0.8900"
"United States Institute of Peace","Agency Overall","2024","11000.00","0.00","11000.00","0.00","0.0000"
"National Mediation Board","Agency Overall","2024","80000.00","0.00","80000.00","0.00","0.0000"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","94776.81","0.00","94776.81","0.00","0.0000"
"National Archives and Records Administration","Agency Overall","2024","1632400.00","26000.00","1658400.00","0.00","0.0000"
"Department of Education","Agency Overall","2024","9992162.04","662499.91","10654661.95","0.00","0.0000"
"National Endowment for the Arts","Agency Overall","2024","127000.00","0.00","127000.00","0.00","0.0000"
"National Council on Disability","Agency Overall","2024","40000.00","0.00","40000.00","0.00","0.0000"
"National Aeronautics and Space Administration","Agency Overall","2024","1613306.27","15000.00","1628306.27","6933.46","0.4300"
"Export-Import Bank of the U.S.","Agency Overall","2024","663322.30","0.00","663322.30","156.75","0.0200"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","86050.00","0.00","86050.00","0.00","0.0000"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","500000.00","0.00","500000.00","0.00","0.0000"
"Farm Credit System Insurance Corporation","Agency Overall","2024","50000.00","0.00","50000.00","0.00","0.0000"
"United States International Boundary and Water Commission","Agency Overall","2024","50000.00","75000.00","125000.00","0.00","0.0000"
"Office of Management and Budget","Agency Overall","2024","1776756.58","10881.25","1787637.83","0.00","0.0000"
"National Capital Planning Commission","Agency Overall","2024","4850.00","0.00","4850.00","0.00","0.0000"
"Central Intelligence Agency","Agency Overall","2024","4699177.32","1835221.25","6534398.57","0.00","0.0000"
"Merit Systems Protection Board","Agency Overall","2024","305986.40","0.00","305986.40","0.00","0.0000"
"Council on Environmental Quality","Agency Overall","2024","411612.00","164369.00","575981.00","0.00","0.0000"
"Commodity Futures Trading Commission","Agency Overall","2024","783674.63","0.00","783674.63","0.00","0.0000"
"National Indian Gaming Commission","Agency Overall","2024","160000.00","0.00","160000.00","348.75","0.2200"
"United States African Development Foundation","Agency Overall","2024","50.00","0.00","50.00","0.00","0.0000"
"Office of the United States Trade Representative","Agency Overall","2024","161000.00","0.00","161000.00","0.00","0.0000"
"Social Security Administration","Agency Overall","2024","3229480.08","153023.00","3382503.08","544362.00","16.8600"
"Armed Forces Retirement Home","Agency Overall","2024","23500.00","0.00","23500.00","0.00","0.0000"
"General Services Administration","Agency Overall","2024","2173655.50","0.00","2173655.50","38863.75","1.7900"
"Department of the Interior","Agency Overall","2024","17427312.00","993531.00","18420843.00","12256.00","0.0700"
"Peace Corps","Agency Overall","2024","1085990.00","0.00","1085990.00","0.00","0.0000"
"Department of Agriculture","Agency Overall","2024","21386060.64","1991248.35","23377308.99","16575.05","0.0800"
"U.S. Agency for Global Media","Agency Overall","2024","224696.00","0.00","224696.00","0.00","0.0000"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","124500.00","0.00","124500.00","0.00","0.0000"
"U.S. Railroad Retirement Board","Agency Overall","2024","147967.26","0.00","147967.26","0.00","0.0000"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","119037.00","0.00","119037.00","0.00","0.0000"
"U.S. International Development Finance Corporation","Agency Overall","2024","312456.00","0.00","312456.00","0.00","0.0000"
"All agencies","Agency Overall","2024","669226281.12","54189280.23","723415561.35","2434243.69","N/A"