"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","8","0"
"Department of Justice","Agency Overall","2024","59596","35412"
"American Battle Monuments Commission","Agency Overall","2024","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","6","8094"
"Office of Special Counsel","Agency Overall","2024","22","0"
"Commission of Fine Arts","Agency Overall","2024","0","0"
"United States Copyright Office","Agency Overall","2024","0","0"
"Office of Science and Technology Policy","Agency Overall","2024","3","3"
"Federal Open Market Committee","Agency Overall","2024","219","29"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","3","3"
"Office of the National Cyber Director","Agency Overall","2024","3","0"
"Department of Health and Human Services","Agency Overall","2024","2713","3372193"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","6","0"
"Surface Transportation Board","Agency Overall","2024","0","1000"
"Department of Energy","Agency Overall","2024","11","1113"
"Consumer Financial Protection Bureau","Agency Overall","2024","36","529"
"Federal Labor Relations Authority","Agency Overall","2024","4","4"
"U.S. Election Assistance Commission","Agency Overall","2024","1","42"
"Federal Communications Commission","Agency Overall","2024","10","3570837"
"Federal Deposit Insurance Corporation","Agency Overall","2024","17","311"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0"
"National Credit Union Administration","Agency Overall","2024","25","0"
"National Science Foundation","Agency Overall","2024","0","0"
"Millennium Challenge Corporation","Agency Overall","2024","0","0"
"Office of National Drug Control Policy","Agency Overall","2024","5","13"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","0","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0"
"United States Trade and Development Agency","Agency Overall","2024","0","0"
"Selective Service System","Agency Overall","2024","1","48"
"Court Services and Offender Supervision Agency","Agency Overall","2024","4","11"
"Nuclear Regulatory Commission","Agency Overall","2024","1243","313"
"Federal Reserve System","Agency Overall","2024","5","14"
"National Labor Relations Board","Agency Overall","2024","632","27531"
"U.S. Agency for International Development","Agency Overall","2024","18","0"
"Department of Transportation","Agency Overall","2024","46","851"
"Social Security Advisory Board","Agency Overall","2024","0","0"
"Institute of Museum and Library Services","Agency Overall","2024","2","1300"
"Federal Maritime Commission","Agency Overall","2024","16","9704"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","31","42"
"Department of Defense","Agency Overall","2024","48741","1534"
"Federal Mediation and Conciliation Service","Agency Overall","2024","0","17"
"Advisory Council on Historic Preservation","Agency Overall","2024","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2024","2","37"
"Securities and Exchange Commission","Agency Overall","2024","84","32980"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","2"
"Equal Employment Opportunity Commission","Agency Overall","2024","7","2835"
"Administrative Conference of the United States","Agency Overall","2024","10","691"
"Appraisal Subcommittee","Agency Overall","2024","0","241"
"Office of the Director of National Intelligence","Agency Overall","2024","73","20"
"Federal Trade Commission","Agency Overall","2024","1638","0"
"Department of Commerce","Agency Overall","2024","14507","4360851"
"Department of Housing and Urban Development","Agency Overall","2024","25189","7234"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","0","52"
"United States Access Board","Agency Overall","2024","0","0"
"Department of the Treasury","Agency Overall","2024","325","5025"
"Department of Homeland Security","Agency Overall","2024","1077","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","0","0"
"United States International Trade Commission","Agency Overall","2024","1","208"
"Environmental Protection Agency","Agency Overall","2024","946533","0"
"Marine Mammal Commission","Agency Overall","2024","0","75"
"Department of Labor","Agency Overall","2024","690041","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","0","0"
"United States Postal Service","Agency Overall","2024","316","7409"
"Occupational Safety and Health Review Commission","Agency Overall","2024","6","78"
"Tennessee Valley Authority","Agency Overall","2024","30","55"
"Farm Credit Administration","Agency Overall","2024","0","25"
"National Railroad Passenger Corporation","Agency Overall","2024","14","1"
"Office of Personnel Management","Agency Overall","2024","0","0"
"National Endowment for the Humanities","Agency Overall","2024","2","48"
"Legal Services Corporation","Agency Overall","2024","899","3113"
"Inter-American Foundation","Agency Overall","2024","2","133"
"Federal Election Commission","Agency Overall","2024","590","221"
"Denali Commission","Agency Overall","2024","0","7"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","0","0"
"Consumer Product Safety Commission","Agency Overall","2024","18","1"
"Presidio Trust","Agency Overall","2024","1","53"
"Postal Regulatory Commission","Agency Overall","2024","0","3"
"U.S. Department of State","Agency Overall","2024","125544","0"
"Federal Housing Finance Agency","Agency Overall","2024","1","6"
"Small Business Administration","Agency Overall","2024","215","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","11","151"
"Office of Government Ethics","Agency Overall","2024","1100","322"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","0","10"
"National Transportation Safety Board","Agency Overall","2024","17993","1538"
"Department of Veterans Affairs","Agency Overall","2024","35","0"
"United States Institute of Peace","Agency Overall","2024","0","0"
"National Mediation Board","Agency Overall","2024","97","2753"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","2","31"
"National Archives and Records Administration","Agency Overall","2024","29","237892858"
"Department of Education","Agency Overall","2024","131","1549"
"National Endowment for the Arts","Agency Overall","2024","2","6"
"National Council on Disability","Agency Overall","2024","0","42"
"National Aeronautics and Space Administration","Agency Overall","2024","1","2528"
"Export-Import Bank of the U.S.","Agency Overall","2024","33","36"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","0","4"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","2","0"
"Farm Credit System Insurance Corporation","Agency Overall","2024","0","9"
"United States International Boundary and Water Commission","Agency Overall","2024","0","0"
"Office of Management and Budget","Agency Overall","2024","10","0"
"National Capital Planning Commission","Agency Overall","2024","0","902"
"Central Intelligence Agency","Agency Overall","2024","447","63"
"Merit Systems Protection Board","Agency Overall","2024","8","2329"
"Council on Environmental Quality","Agency Overall","2024","9","39"
"Commodity Futures Trading Commission","Agency Overall","2024","99","3407"
"National Indian Gaming Commission","Agency Overall","2024","48","0"
"United States African Development Foundation","Agency Overall","2024","0","0"
"Office of the United States Trade Representative","Agency Overall","2024","16","84"
"Social Security Administration","Agency Overall","2024","26","0"
"Armed Forces Retirement Home","Agency Overall","2024","0","0"
"General Services Administration","Agency Overall","2024","10","66"
"Department of the Interior","Agency Overall","2024","4215","13643"
"Peace Corps","Agency Overall","2024","2","24"
"Department of Agriculture","Agency Overall","2024","107","35355"
"U.S. Agency for Global Media","Agency Overall","2024","5","59"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","4","1"
"U.S. Railroad Retirement Board","Agency Overall","2024","27","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","1","0"
"U.S. International Development Finance Corporation","Agency Overall","2024","0","1"
"All agencies","Agency Overall","2024","1945022","249410162"