"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","1","0","14","14"
"Department of Justice","Agency Overall","2024","2135","2018","1","12.31"
"American Battle Monuments Commission","Agency Overall","2024","0","0","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2024","0","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2024","0","6","<1","<1"
"Commission of Fine Arts","Agency Overall","2024","0","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2024","0","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2024","180","0","1","1"
"Federal Open Market Committee","Agency Overall","2024","0","0","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2024","0","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","0","0","N/A","N/A"
"Office of the National Cyber Director","Agency Overall","2024","0","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2024","350","252","7.98","16.21"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","0","0","0"
"Surface Transportation Board","Agency Overall","2024","0","26","7","7.57"
"Department of Energy","Agency Overall","2024","188","39","5.00","27.37"
"Consumer Financial Protection Bureau","Agency Overall","2024","1","2","1","5.33"
"Federal Labor Relations Authority","Agency Overall","2024","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2024","2","4","16","17"
"Federal Communications Commission","Agency Overall","2024","0","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2024","19","1","3.00","15.40"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2024","73","2","3","8.59"
"National Science Foundation","Agency Overall","2024","3","3","1762.5","1546.83"
"Millennium Challenge Corporation","Agency Overall","2024","0","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2024","0","0","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","0","0","N/A","N/A"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2024","0","0","N/A","N/A"
"Selective Service System","Agency Overall","2024","0","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2024","26","9","1","1"
"Nuclear Regulatory Commission","Agency Overall","2024","8","13","1","12.67"
"Federal Reserve System","Agency Overall","2024","0","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2024","7","81","2","5.81"
"U.S. Agency for International Development","Agency Overall","2024","6","18","0","8.88"
"Department of Transportation","Agency Overall","2024","162","74","3","38.68"
"Social Security Advisory Board","Agency Overall","2024","0","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2024","0","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2024","0","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","0","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","0","0","N/A","N/A"
"Department of Defense","Agency Overall","2024","1514","747","2","19.14"
"Federal Mediation and Conciliation Service","Agency Overall","2024","0","1","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2024","33","0","1","1"
"Federal Financial Institutions Examination Council","Agency Overall","2024","0","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2024","4","313","2","2.56"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2024","359","0","3","7.57"
"Administrative Conference of the United States","Agency Overall","2024","0","0","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2024","44","0","1","1"
"Office of the Director of National Intelligence","Agency Overall","2024","226","0","<1","<1"
"Federal Trade Commission","Agency Overall","2024","20","242","3","4.67"
"Department of Commerce","Agency Overall","2024","444","207","3","11"
"Department of Housing and Urban Development","Agency Overall","2024","70","21","13","67.96"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","9","20","6","8.41"
"United States Access Board","Agency Overall","2024","0","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2024","171","1197","0","3.91"
"Department of Homeland Security","Agency Overall","2024","3323","1782","2","28"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","5","0","167","152"
"United States International Trade Commission","Agency Overall","2024","0","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2024","369","896","2","8.07"
"Marine Mammal Commission","Agency Overall","2024","0","0","N/A","N/A"
"Department of Labor","Agency Overall","2024","386","367","12.00","28.76"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","0","0","N/A","N/A"
"United States Postal Service","Agency Overall","2024","30","177","0","1.85"
"Occupational Safety and Health Review Commission","Agency Overall","2024","0","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2024","7","0","20","19.57"
"Farm Credit Administration","Agency Overall","2024","1","8","15","17"
"National Railroad Passenger Corporation","Agency Overall","2024","161","35","",""
"Office of Personnel Management","Agency Overall","2024","1","3","17","25.25"
"National Endowment for the Humanities","Agency Overall","2024","0","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2024","0","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2024","48","0","1","1"
"Federal Election Commission","Agency Overall","2024","0","0","N/A","N/A"
"Denali Commission","Agency Overall","2024","0","0","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","0","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2024","5","0","17","16.8"
"Presidio Trust","Agency Overall","2024","0","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2024","1","0","4","4"
"U.S. Department of State","Agency Overall","2024","377","78","42.5","52.03"
"Federal Housing Finance Agency","Agency Overall","2024","0","2","2","2"
"Small Business Administration","Agency Overall","2024","34","7","32","101.59"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","0","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2024","0","0","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","0","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2024","35","0","0","0.74"
"Department of Veterans Affairs","Agency Overall","2024","238","355","2.00","20.77"
"United States Institute of Peace","Agency Overall","2024","0","0","N/A","N/A"
"National Mediation Board","Agency Overall","2024","0","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","0","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2024","101","260","11","16"
"Department of Education","Agency Overall","2024","640","119","1","18.19"
"National Endowment for the Arts","Agency Overall","2024","0","0","N/A","N/A"
"National Council on Disability","Agency Overall","2024","55","0","1","1"
"National Aeronautics and Space Administration","Agency Overall","2024","7","109","1","12.1"
"Export-Import Bank of the U.S.","Agency Overall","2024","106","0","1","1"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","73","0","19","16"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","25","0","95","95"
"Farm Credit System Insurance Corporation","Agency Overall","2024","0","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2024","4","0","2","2"
"Office of Management and Budget","Agency Overall","2024","0","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2024","0","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2024","0","1","<1","<1"
"Merit Systems Protection Board","Agency Overall","2024","0","1","1","1"
"Council on Environmental Quality","Agency Overall","2024","0","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2024","0","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2024","3","5","6","5"
"United States African Development Foundation","Agency Overall","2024","0","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2024","0","0","N/A","N/A"
"Social Security Administration","Agency Overall","2024","8","625","22","11"
"Armed Forces Retirement Home","Agency Overall","2024","0","0","N/A","N/A"
"General Services Administration","Agency Overall","2024","16","98","6","23.64"
"Department of the Interior","Agency Overall","2024","1127","145","2","15.14"
"Peace Corps","Agency Overall","2024","106","0","0","19.32"
"Department of Agriculture","Agency Overall","2024","905","72","1","34.54"
"U.S. Agency for Global Media","Agency Overall","2024","0","0","N/A","N/A"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","0","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2024","0","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","0","0","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2024","7","0","5","4.86"
"All agencies","Agency Overall","2024","14259","10441","N/A","N/A"