"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2024","56","68.82","<1","339"
"American Battle Monuments Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2024","29","73","18","216"
"Office of Special Counsel","Agency Overall","2024","130","146.43","23","271"
"Commission of Fine Arts","Agency Overall","2024","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2024","17","17","17","17"
"Federal Open Market Committee","Agency Overall","2024","N/A","N/A","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","195","199","186","203"
"Office of the National Cyber Director","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2024","224.61","405.65","<1","3038"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2024","12","14","1","31"
"Consumer Financial Protection Bureau","Agency Overall","2024","20","19.56","12","30"
"Federal Labor Relations Authority","Agency Overall","2024","19","19","19","19"
"U.S. Election Assistance Commission","Agency Overall","2024","7","11","3","20"
"Federal Communications Commission","Agency Overall","2024","204.50","216.44","4","460"
"Federal Deposit Insurance Corporation","Agency Overall","2024","20.00","20.94","7","30"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2024","17","16.75","15","18"
"National Science Foundation","Agency Overall","2024","204","109.57","14","305"
"Millennium Challenge Corporation","Agency Overall","2024","23","23","23","23"
"Office of National Drug Control Policy","Agency Overall","2024","18","18","18","19"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2024","55","55","55","55"
"Court Services and Offender Supervision Agency","Agency Overall","2024","19","15","1","20"
"Nuclear Regulatory Commission","Agency Overall","2024","10.5","18.33","2","50"
"Federal Reserve System","Agency Overall","2024","34","40","1","179"
"National Labor Relations Board","Agency Overall","2024","14","12.21","1","22"
"U.S. Agency for International Development","Agency Overall","2024","89.5","101.31","35","210"
"Department of Transportation","Agency Overall","2024","88.5","446.12","<1","2129"
"Social Security Advisory Board","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2024","33","173.22","1","3715"
"Federal Mediation and Conciliation Service","Agency Overall","2024","18.5","14.5","2","19"
"Advisory Council on Historic Preservation","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2024","19","17.95","<1","168"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2024","15","17.25","1","107"
"Administrative Conference of the United States","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2024","36","168.88","17","879"
"Federal Trade Commission","Agency Overall","2024","20","18.06","4","30"
"Department of Commerce","Agency Overall","2024","28","229.6","<1","1982"
"Department of Housing and Urban Development","Agency Overall","2024","10.00","10.16","1","19"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","15.5","16.33","6","28"
"United States Access Board","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2024","20.00","150.87","<1","2223"
"Department of Homeland Security","Agency Overall","2024","6","12","<1","1698"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2024","21","21.4","8","49"
"Environmental Protection Agency","Agency Overall","2024","16.5","14.5","1","27"
"Marine Mammal Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2024","234.00","424.68","<1","1653"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2024","18","16.69","1","63"
"Occupational Safety and Health Review Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2024","29","32.33","20","92"
"Farm Credit Administration","Agency Overall","2024","16","16","13","20"
"National Railroad Passenger Corporation","Agency Overall","2024","241","562.32","4","1757"
"Office of Personnel Management","Agency Overall","2024","75","157","20","349"
"National Endowment for the Humanities","Agency Overall","2024","44.5","44.5","24","65"
"Legal Services Corporation","Agency Overall","2024","36","36","36","36"
"Inter-American Foundation","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2024","15","15","15","15"
"Denali Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2024","19","20.2","8","60"
"Presidio Trust","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2024","6","150","1","2434"
"Federal Housing Finance Agency","Agency Overall","2024","20","20","20","20"
"Small Business Administration","Agency Overall","2024","14","19","3","35"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2024","11","11","11","11"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","31","31","31","31"
"National Transportation Safety Board","Agency Overall","2024","12","10.5","<1","23"
"Department of Veterans Affairs","Agency Overall","2024","59.00","142.10","<1","801"
"United States Institute of Peace","Agency Overall","2024","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2024","140","356","4","1744"
"Department of Education","Agency Overall","2024","21.00","189.23","<1","750"
"National Endowment for the Arts","Agency Overall","2024","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2024","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2024","50.5","65.2","13","185"
"Export-Import Bank of the U.S.","Agency Overall","2024","25","25","25","25"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","21","17","10","21"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2024","0","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2024","13.5","13.5","6","21"
"Office of Management and Budget","Agency Overall","2024","136","120","16","210"
"National Capital Planning Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2024","688.50","838.08","54","2766"
"Merit Systems Protection Board","Agency Overall","2024","48.00","42.96","9","137"
"Council on Environmental Quality","Agency Overall","2024","31.5","52.5","23","124"
"Commodity Futures Trading Commission","Agency Overall","2024","22","22","22","22"
"National Indian Gaming Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2024","20","20","19","21"
"Social Security Administration","Agency Overall","2024","4","17","<1","349"
"Armed Forces Retirement Home","Agency Overall","2024","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2024","38.5","102.26","3","754"
"Department of the Interior","Agency Overall","2024","24.5","181.65","<1","1622"
"Peace Corps","Agency Overall","2024","31","31","7","55"
"Department of Agriculture","Agency Overall","2024","91","307.72","1","1327"
"U.S. Agency for Global Media","Agency Overall","2024","38","38","25","51"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","54","54","54","54"
"U.S. Railroad Retirement Board","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","23","23","23","23"
"U.S. International Development Finance Corporation","Agency Overall","2024","16","16","16","16"