"OSHRC, for Occupational Safety and Health Review Commission",2019-11-12,2019,[],,[],,,,,,,,,,,,,,Please note that the request requiring 120 days to process necessitated consultations with two federal agencies.  OSHRC received the results of one consultation after 8 days and the results of the other after 81 days.,,,,,,,,,,,,,,,,1.67,0,0.00,235997.55,235997.55,1.67,20,1,70,89,0,0,0,26,0,12,0,0,12,0,0,20,70,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,66.33,120,39,40,N/A,N/A,N/A,N/A,6.24,21,1,4,66.33,120,39,40,N/A,N/A,N/A,N/A,9.03,21,1,8,0,0,0,0,0,66,0,1,0,0,0,0,0,67,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.33,27,3,N/A,N/A,0,2.71,1,17,2019-06-07,2019-09-24,2019-08-21,2019-09-04,2019-09-04,2019-09-20,2019-09-23,2019-09-23,2019-09-25,2019-09-24,79,2,27,18,6,6,5,5,3,2,2,2,1,0,1,N/A,N/A,0,0,0.0900,201.50,0,13,78,0,1,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,70,69,89,69,1,0,1,1,1,1,0,0,089f237c-8257-4d00-a5a3-d0dd0ba13833,True,OSHRC - 2019 - Annual FOIA Report
FMSHRC,2019-11-15,2019,[],,[],I'm not sure how to correct this?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0,0.00,125000.00,125000.00,1.00,1,2,65,64,1,0,0,43,2,11,2,0,1,1,0,4,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,5.2,8,1,6,1,1,1,1,1.5,9,<1,1,7.5,8,7,7.5,1,1,1,1,1.7,9,1,1,0,0,0,0,0,56,0,0,0,0,0,0,0,56,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,N/A,N/A,0,0,0.2200,271.35,0,200,13,0,0,2,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,65,68,64,65,0,0,0,0,0,0,0,0,227b890c-8fe3-4f2d-82d8-1ba41e516ad1,True,FMSHRC - 2019 - Annual FOIA Report
NCUA,2020-10-28,2020,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,0,5412.00,482952.00,488364.00,2.64,17,19,134,132,0,0,11,32,0,11,1,0,77,0,0,2,134,0,0,7,2,43,26,76,0,0,19,0,2,0,44,0,0,0,4,4,4,0,0,0,4,0,0,1,4,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,19,19,19,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,27.41,103,1,29,1.33,2,1,1,9.64,20,<1,9.50,27.93,103,1,29,1.50,2,1,1.50,9.96,20,<1,10,0,0,0,0,0,28,0,0,0,0,0,0,0,28,1,0,0,0,0,26,0,68,0,0,7,1,0,103,0,0,0,0,0,3,0,0,0,0,0,0,0,3,24.06,21,17,N/A,N/A,0,N/A,N/A,0,2020-03-27,2020-09-02,2020-08-20,2020-08-20,2020-08-20,2020-08-20,2020-08-20,2020-08-24,2020-08-28,2020-08-31,130,19,28,28,28,28,28,26,22,21,2.33,2,1,2,3,2.50,1,0,6,0.1000,484.50,0,14,480,0,1,3,1,0,2,2020-09-28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0,0,0,0,0,0,0,0,134,148,132,148,1,1,4,2,4,2,0,0,f681b1fb-9942-48f7-bd91-78715eff1c77,True,NCUA - 2020 - Annual FOIA Report
RRB,2019-11-15,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,0,0.00,57461.00,57461.00,3.00,2,9,109,102,2,0,7,87,0,8,4,0,0,0,1,0,109,0,0,0,30,1,0,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,194.71,1338,1,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,250.75,1338,1,23,0,0,0,0,1,90,0,7,2,5,1,2,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,N/A,N/A,0,479.25,380,2,2014-05-07,N/A,2019-06-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1338,0,62,0,0,0,0,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0.2500,145.00,0,1,0,0,2,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,109,86,102,87,2,9,1,0,1,0,0,0,bc86687d-c045-4b90-8744-8ef9947ff520,True,RRB - 2019 - Annual FOIA Report
FMC,2019-11-08,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,1,0.00,322451.00,322451.00,1.43,2,3,23,22,0,0,5,8,0,6,0,0,4,0,0,0,23,0,0,0,6,4,5,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,27.4,62,5,21,N/A,N/A,N/A,N/A,4.33,6,2,5,26.72,62,5,19,N/A,N/A,N/A,N/A,5,5,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,4,0,0,5,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,2,N/A,N/A,0,N/A,N/A,0,2019-05-21,N/A,2019-09-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,0,9,0,0,0,0,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0.0000,0.00,0,0,9,0,1,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,23,28,22,26,1,2,0,0,0,0,0,0,5d1da961-a96d-4fb6-8806-9883edb7e362,True,FMC - 2019 - Annual FOIA Report
FCC,2019-11-14,2019,[],,"[{'value': 'After reviewing its database, FCC adjusted the number of requests pending as of the start of the Fiscal Year. ', 'format': None, 'processed': '<p>After reviewing its database, FCC adjusted the number of requests pending as of the start of the Fiscal Year.</p>\n'}]",,,,"After reviewing its database, FCC adjusted the number of appeals pending as of the start of the Fiscal Year.  ",,,,,,,,,,,,,,,,,,,,,,,,,,9.96,6,67372.50,3289945.76,3357318.26,15.96,59,62,703,700,17,66,18,81,2,91,24,3,299,13,2,87,703,3,0,0,0,47,69,217,14,0,25,0,29,0,0,0,3,9,15,9,3,11,0,1,15,0,0,0,1,4,8,1,0,1,0,5,0,0,0,1,1,0,2,0,0,0,0,0,0,7,0,148.67,543,<1,72,2018-10-01,N/A,2019-03-14,2019-08-15,N/A,N/A,N/A,N/A,N/A,N/A,248,0,139,31,0,0,0,0,0,0,66.3,490,17,47,47.82,302,1,23.5,12.5,94,<1,10,66.36,348,17,49.5,61.3,302,2,37,15.56,47,<1,14,0,0,0,0,0,391,0,100,0,0,7,1,1,500,6,3,0,0,2,4,4,41,1,1,43,16,7,128,3,1,0,1,2,26,1,13,1,0,7,3,2,60,157.83,68,12,73.5,38,6,19.82,8,39,2016-11-18,2018-09-17,2018-05-16,2018-07-18,2018-09-05,2018-11-19,2018-12-31,2019-01-04,2019-02-25,2019-03-29,715,9,289,289,266,214,189,186,152,79,8.7,6,35,58,66,0.08,N/A,51,0,0.5000,16336.39,0,7,32955958,3,16,7,1,0,6,2019-09-27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,0,0,703,848,700,820,16,9,15,35,9,36,3,11,1ccf3843-6254-4c4f-92c8-d2e8aef9decc,True,FCC - 2019 - Annual FOIA Report
SEC,2019-11-12,2019,[],,[],,,,,,,,,,,Due to a system limitation the chart in this section may contain information about unperfected requests,,,,,,,,,,,,,,,,,,,10.00,32,343201.68,7238733.49,7581935.17,42.00,599,540,11487,11546,267,31,1132,4695,39,4287,42,0,733,8,71,182,11487,0,0,10,35,436,289,313,471,1,300,17,27,1,22,1,15,6,587,596,452,17,72,46,587,0,0,2,4,113,42,272,0,43,0,4,0,3,0,0,0,1,0,3,0,9,0,0,0,4,9,26.28,258,<1,15.00,2018-12-10,2019-09-20,2019-03-18,2019-05-03,2019-08-16,2019-09-18,2019-09-20,2019-09-20,2019-09-20,2019-09-20,203,6,137,103,31,8,6,6,6,6,574,1261,311,494,47.41,228,4,14,16.89,446,<1,8,542,542,542,542,64.4,228,4,16,18.84,446,<1,8,69,56,43,44,11,8912,25,1625,8,3,398,168,109,11471,0,0,0,0,0,0,0,0,8,1,0,0,0,9,0,0,0,0,0,5,1,0,0,0,1,0,0,7,815,894,6,34,25,3,38,11,590,2015-09-15,2017-02-15,2015-10-09,2016-02-12,2016-04-05,2016-08-01,2016-09-02,2016-12-14,2016-12-23,2017-02-03,1014,526,996,912,876,661,637,568,561,534,5.43,4,253,10,234,3.27,2,232,168,0.2500,17921.90,10,124,671957,4,184,11,2,0,9,2019-08-12,N/A,2019-09-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34,0,18,0,0,0,0,0,0,0,11487,14248,11546,14229,184,112,587,637,596,621,4,0,b0f4b40b-34d2-436e-88f3-1e528d654e4e,True,SEC - 2019 - Annual FOIA Report
MSPB,2019-11-21,2019,[],,"[{'value': 'After reviewing its database, MSPB has adjusted the number of requests pending as of the start of the Fiscal Year. ', 'format': None, 'processed': '<p>After reviewing its database, MSPB has adjusted the number of requests pending as of the start of the Fiscal Year.</p>\n'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,1,0.00,241329.00,241329.00,1.85,52,50,115,117,2,0,2,33,3,26,0,1,40,5,0,3,115,1,0,1,0,0,1,41,3,0,5,0,6,1,0,0,3,5,10,8,6,1,0,3,10,0,0,0,0,1,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,44,140,8,20,2018-08-21,N/A,2018-08-21,2019-09-30,N/A,N/A,N/A,N/A,N/A,N/A,276,0,276,0,0,0,0,0,0,0,318.23,805,1,169.5,N/A,N/A,N/A,N/A,8.49,138,<1,3,352.59,805,9,187,N/A,N/A,N/A,N/A,7.87,23,<1,4.5,0,1,0,0,0,75,0,1,0,0,0,0,0,77,1,0,1,0,2,5,0,6,0,13,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.44,595.5,34,1173,1173,1,444.35,526,17,2015-01-23,2016-08-08,2015-06-08,2016-01-23,2016-02-16,2016-03-22,2016-06-01,2016-06-02,2016-07-18,2016-08-01,1173,787,957,923,909,884,834,833,802,792,5,1,9,0,8,N/A,N/A,0,0,0.0000,0.00,0,14,69,2,46,0,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,115,200,117,173,46,47,10,8,8,13,2,3,8835871f-98a9-405d-b540-015800a79c9c,True,MSPB - 2019 - Annual FOIA Report
FRB,2019-11-13,2019,[],,"[{'value': 'After reviewing its database, FRB adjusted the number of requests pending as of the start of the Fiscal Year.', 'format': None, 'processed': '<p>After reviewing its database, FRB adjusted the number of requests pending as of the start of the Fiscal Year.</p>\n'}]",,,,"After reviewing its database, FRB adjusted the number of appeals pending as of the start of the Fiscal Year.",,,,,,,,,,,,,"After reviewing its database, FRB adjusted the third oldest pending perfected request reported from last year's annual report.",,,,,,,,,"After reviewing its database, FRB adjusted the number of requests processed during the fiscal year from last year's annual report.","After reviewing its database, FRB adjusted the number of backlogged requests as of the end of the fiscal year from the previous annual report.",,"After reviewing its database, FRB adjusted the number of backlogged appeals as of the end of the fiscal year from the previous annual report. ",11.00,4,14089.00,1390794.00,1404883.00,15.00,35,34,561,562,4,1,16,318,10,54,25,9,72,22,7,23,561,9,0,0,1,35,30,42,3,0,1,0,5,0,28,0,5,0,9,14,6,1,1,1,9,0,0,0,3,4,1,1,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,2,44,78,21,41,2019-02-08,N/A,2019-07-01,2019-09-09,2019-09-23,2019-09-24,N/A,N/A,N/A,N/A,163,0,64,16,6,5,0,0,0,0,48,261,1,29,N/A,0,0,N/A,13,206,1,8,51,261,1,35,N/A,0,0,N/A,14,206,1,8,1,0,0,0,0,228,1,24,0,0,10,4,1,269,14,12,4,3,2,84,4,75,0,0,33,20,9,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,24,31,N/A,N/A,0,73,22,4,2017-04-06,2019-07-19,2017-04-06,2017-05-31,2018-10-09,2019-01-29,2019-02-01,2019-06-04,2019-07-02,2019-07-03,625,51,625,587,246,171,168,83,63,62,7,7,6,3,7,N/A,N/A,0,0,0.0300,426.40,0,1,14,2,14,5,4,4,5,2018-05-14,N/A,2018-08-13,2018-11-26,2019-07-26,N/A,N/A,N/A,N/A,N/A,348,0,285,214,46,0,0,0,0,0,561,625,562,610,14,18,9,7,14,6,2,0,9b351fb7-0f3a-4e21-8a58-ddf4cdc1e6c0,True,FRB - 2019 - Annual FOIA Report
EXIM Bank,11/13/2019,2019,[],,[],,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,0.50,3,0.00,491752.80,491752.80,3.50,38,44,85,79,0,2,4,26,0,10,0,0,36,5,0,2,85,0,0,0,0,25,19,29,6,0,7,0,5,0,0,0,0,0,2,2,1,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,52,0,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,370.55,1273,8,312.5,15,15,15,15,15.76,66,<1,6,424.07,1273,24,374,15,15,15,15,13.47,61,<1,6,0,0,0,0,0,32,0,3,0,0,4,2,0,41,2,0,0,0,1,2,5,4,7,13,1,3,0,38,0,0,0,0,0,1,0,0,0,0,0,0,0,1,368,366,25,N/A,N/A,0,170,144,10,2015-08-06,2018-02-06,2016-05-03,2016-05-03,2016-11-23,2017-05-05,2017-06-07,2017-06-23,2017-06-26,2018-01-24,1041,415,856,856,715,603,581,569,568,424,5.5,6.5,5,1,6,17.92,1,5,21,0.0700,368.00,0,7,2,0,31,2,1,0,1,2019-08-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38,0,0,0,0,0,0,0,0,0,85,85,79,77,31,41,2,3,2,3,0,0,ef2b6a0d-f6d1-4b64-abfb-c64f147c0058,True,EXIM Bank - 2019 - Annual FOIA Report
PC,2019-11-13,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10,0,0.00,1794054.00,1794054.00,3.10,134,56,101,179,2,2,0,42,2,13,0,0,30,1,4,5,101,0,0,7,0,1,8,25,0,0,5,3,4,0,0,0,0,0,6,6,2,0,3,1,6,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67,21,7,12.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,268.3,757,21,217.5,1,1,1,1,71.33,601,<1,28,306.8,757,148,205,N/A,N/A,N/A,N/A,79.17,538,<1,33,2,2,3,3,1,28,6,18,4,2,8,4,3,84,0,1,1,0,1,0,4,1,0,2,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,161,10,28,N/A,N/A,0,128,28,106,2016-11-21,2018-01-18,2017-02-09,2016-12-01,2016-12-05,2016-12-07,2017-08-18,2017-09-26,2017-12-11,2017-12-22,717,428,716,710,708,706,530,504,453,444,1,1,6,1,7,1,1,20,6,0.0000,0.00,0,39,499,0,69,1,1,1,1,2018-04-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,366,0,0,0,0,0,0,0,0,0,101,123,179,137,69,56,6,7,6,7,0,0,1b86659b-d514-41f4-9a27-8951c689491b,True,PC - 2019 - Annual FOIA Report
USTR,2019-11-13,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,0,0.00,258000.00,258000.00,1.70,12,14,138,136,0,0,3,18,0,30,0,4,79,4,0,0,138,4,10,0,15,17,40,74,1,0,0,0,0,0,0,0,0,2,10,8,1,0,1,8,10,3,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,37,6,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,193,1531,26,114,7,9,6,7,25,128,1,19,197,1531,26,111,8,10,7,7,29,128,1,20,3,1,0,0,0,76,0,16,0,0,7,3,2,108,4,3,1,1,1,0,2,3,0,2,1,1,4,23,0,0,0,0,0,3,0,0,0,0,0,0,0,3,221,221,1,N/A,N/A,0,7,5,8,2018-11-13,N/A,2019-08-22,2019-09-20,2019-09-20,2019-09-24,2019-09-25,2019-09-25,2019-09-25,2019-09-30,221,0,27,7,7,5,4,4,4,1,9,9,6,3,8,N/A,N/A,0,0,0.3400,874.00,0,34,16,0,2,31,0,0,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,138,188,136,186,2,11,10,4,8,6,0,0,98484348-2ce6-44a2-a08d-96bdc99d9b6c,True,USTR - 2019 - Annual FOIA Report
ACUS,2019-11-13,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0,0.00,11233.00,11233.00,0.05,0,0,24,24,0,0,0,4,0,0,18,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,<1,1,0,0,0,0,0,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0.0000,0.00,0,6,227,0,0,1,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,24,19,24,19,0,0,0,0,0,0,0,0,4523d6dd-42b2-4774-95fc-e9cdd120745e,True,ACUS - 2019 - Annual FOIA Report
USADF,2019-11-15,2019,[], ,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0,0.00,9000.00,9000.00,0.06,0,0,7,7,0,0,0,5,0,1,0,0,1,0,0,0,7,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,51,51,51,51,20,20,20,20,8.6,17,1,11,51,51,51,51,N/A,N/A,N/A,N/A,7.75,17,1,6.5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,N/A,N/A,0,0,0.0000,0.00,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,7,6,7,6,0,0,1,0,1,0,0,0,001821b6-ac09-4f18-9aed-71a1ed01956b,True,USADF - 2019 - Annual FOIA Report
PCLOB,2019-11-14,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,0,0.00,9800.00,9800.00,0.50,13,10,20,23,0,0,3,1,0,11,0,3,2,0,0,0,20,3,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,20,10,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,17.6,20,12,17,10,10,10,10,10.5,19,3,8.5,20,20,20,20,N/A,0,0,N/A,9,15,3,9,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,230,10,N/A,N/A,0,147,120,3,2017-03-06,2018-07-12,2017-03-08,2017-05-31,2017-07-05,2017-07-10,2017-07-27,2017-08-23,2017-08-23,2017-10-04,647,306,645,586,562,559,546,527,527,498,2,1,0,2,2,13,1,0,8,0.0000,0.00,0,0,3,0,13,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,20,26,23,28,13,10,3,0,3,0,0,0,121d8f11-0054-4d4c-8e5b-e2e677e9ed7e,True,PCLOB - 2019 - Annual FOIA Report
NEA,2019-11-15,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,0,0.00,87500.00,87500.00,1.50,1,0,57,58,0,0,0,16,0,11,0,0,30,0,0,0,57,0,0,0,0,17,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,32,77,20,23,5,7,3,4,22,58,3,30,32,77,20,48,22,34,14,21,23,58,3,30,0,0,0,0,0,31,0,14,0,0,6,0,0,51,0,0,0,0,0,1,0,4,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,N/A,N/A,0,8,8,1,2019-09-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,0,0,0,0,0,0,0,0,0,5,5,6,0,6,N/A,N/A,0,0,0.0000,0.00,0,0,11,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,57,76,58,71,0,0,0,0,0,0,0,0,2047d17f-d88a-4128-8abf-d6bea17e71ed,True,NEA - 2019 - Annual FOIA Report
USITC,2019-11-04,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,0,0.00,44200.00,44200.00,4.00,3,0,28,31,0,0,2,8,0,8,0,0,10,0,0,0,28,0,0,0,1,1,10,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,40.1,84,25,30,N/A,N/A,N/A,N/A,16.3,20,7,19,29.2,30,27,30,N/A,N/A,N/A,N/A,18.8,20,16,20,0,0,0,0,0,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,3,N/A,N/A,0,N/A,N/A,0,2019-08-22,N/A,2019-09-18,2019-09-25,N/A,N/A,N/A,N/A,N/A,N/A,25,0,8,3,0,0,0,0,0,0,5.3,8,2,0,2,N/A,N/A,0,0,0.0000,0.00,0,0,233,0,1,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,28,37,31,34,1,0,0,2,0,2,0,0,35a8bed3-a53d-4911-80c5-f9522d44a44a,True,USITC - 2019 - Annual FOIA Report
