USAGM,2019-1-18,2019,[],,"[{'value': 'After reviewing its database, USAGM adjusted the number of requests pending as of the start of the fiscal year. ', 'format': None, 'processed': '<p>After reviewing its database, USAGM adjusted the number of requests pending as of the start of the fiscal year.</p>\n'}, {'value': 'In August 2018, the Broadcasting Board of Governors became the U.S. Agency for Global Media.', 'format': None, 'processed': '<p>In August 2018, the Broadcasting Board of Governors became the U.S. Agency for Global Media.</p>\n'}]",,,,"After reviewing its database, USAGM adjusted the number of appeals pending as of the start of the fiscal year. ",,,,,,,,,,,,,,   ,,,,,,,,,,,,1.20,0,10000.00,160000.00,170000.00,1.20,14,25,74,63,0,0,0,10,2,13,0,0,34,3,0,12,74,0,0,0,0,7,15,23,1,0,2,0,0,0,0,1,0,3,3,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,168,323,52,129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79,338,2,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79,338,2,48,3,1,2,1,6,9,4,17,1,0,15,2,8,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,N/A,N/A,0,139,147,14,2018-10-30,2019-05-20,2018-10-30,2018-11-18,2018-11-30,2018-12-07,2019-02-04,2019-02-19,2019-03-18,2019-04-25,229,92,229,222,208,203,166,156,137,109,N/A,N/A,0,0,0,N/A,N/A,0,0,0.0000,0.00,0,0,0,0,13,1,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,74,59,63,60,13,4,3,3,0,2,0,0,2ea6d6a6-0a44-44c1-86ab-1caa0486b68a,True,USAGM - 2019 - Annual FOIA Report
FFIEC,11/18/2019,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0,0.00,10168.00,10168.00,0.10,0,0,11,11,0,0,1,0,0,4,0,0,5,0,1,0,11,0,0,0,0,1,2,4,0,0,0,0,0,0,1,0,0,6,6,0,0,0,0,6,6,0,6,0,0,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,499,499,499,499,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,21.5,30,13,21.5,N/A,N/A,N/A,N/A,10.1,35,1,8,21.5,30,13,21.5,N/A,N/A,N/A,N/A,19,35,13,13,0,0,0,0,0,8,0,1,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,12.5,12.5,2,0,0,N/A,N/A,0,0,0.0000,0.00,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,11,8,11,8,0,0,6,0,0,0,0,6,700480b2-d291-4f62-a5c0-83279b3bfa89,True,FFIEC - 2019 - Annual FOIA Report
NCD,"November 18, 2019",2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0,0.00,10000.00,10000.00,0.10,1,0,11,12,0,0,1,0,0,8,0,0,0,2,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,20,<1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,1,N/A,N/A,0,N/A,N/A,0,2019-09-11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0.0000,0.00,0,0,44,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,11,0,12,3,0,0,0,0,0,0,0,0,e5ec6d37-29dd-4309-ae8b-6520c7a77989,True,NCD - 2019 - Annual FOIA Report
CPSC,2019-11-18,2019,[],,"[{'value': 'After reviewing its database, CPSC adjusted the number of requests pending as of the start of the Fiscal Year. ', 'format': None, 'processed': '<p>After reviewing its database, CPSC adjusted the number of requests pending as of the start of the Fiscal Year.</p>\n'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,5,0.00,434997.68,434997.68,6.00,563,374,316,505,6,0,28,46,8,35,1,23,121,0,27,21,316,23,3,3,175,36,64,98,32,1,0,7,0,0,0,0,1,1,9,9,2,0,4,3,9,0,0,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,75,20,22.5,2019-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,0,0,0,0,0,0,0,0,0,198.49,654,1,169,47.75,96,6,44.5,89.68,437,1,36,262.51,654,2,273,88.5,96,81,88.5,148.97,437,6,99,5,2,3,2,2,1,9,28,3,3,19,7,6,90,11,9,4,7,7,33,39,13,25,32,14,12,9,215,0,0,0,0,0,2,0,0,0,0,0,0,2,4,71,86.5,416,10,10,2,26,20,119,2016-09-16,2017-01-31,2016-11-18,2016-11-29,2017-01-18,2017-01-18,2017-01-18,2017-01-18,2017-01-18,2017-01-19,765,631,703,692,644,644,644,644,644,643,16.52,7,39,1,32,190.4,43,0,5,0.0000,0.00,0,4,31,1,404,2,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,316,439,505,554,404,265,9,12,9,10,1,0,5afdd48e-7916-42c2-9048-a548b84d8c39,True,CPSC - 2019 - Annual FOIA Report
Treasury,2019-12-30,2019,[],,"[{'value': 'After reviewing its database, Treasury adjusted the number of requests pending as of the start of the Fiscal Year.', 'format': None, 'processed': '<p>After reviewing its database, Treasury adjusted the number of requests pending as of the start of the Fiscal Year.</p>\n'}]",,,,"After reviewing its database, Treasury adjusted the number of appeals pending as of the start of the Fiscal Year.",,,,,,,,,,,,,,,,,,,,"After reviewing its database, DO adjusted the number of consultations pending as of the start of the Fiscal Year.",,"After reviewing its database, DO adjusted the number of requests received as of the start of the Fiscal Year.","After reviewing its database, DO adjusted the number of backlogged requests as of the start of the Fiscal Year.","After reviewing its database, DO adjusted the number appeals received as of the start of the Fiscal Year.","After reviewing its database, DO adjusted the number of backlogged appeals as of the start of the Fiscal Year.",81.81,47,1394963.10,17907075.91,19302039.01,128.81,2195,2180,11921,11936,671,100,276,3474,2304,945,203,15,2797,184,186,766,11921,15,8,36,2034,128,581,858,473,3,979,26,1182,9,33,0,124,113,137,148,123,4,6,4,137,0,2,55,2,22,22,19,0,14,0,18,1,3,0,1,1,0,18,20,0,0,0,0,1,0,0,44.1,2024,<1,16,2010-06-09,2012-06-20,2011-04-06,2011-07-15,2011-07-26,2011-09-01,2011-11-03,2012-02-23,2012-06-18,2012-06-19,2275,1827,2131,2061,2054,2027,1984,1910,1829,1828,56.2,1911,<1,23,110.2,555,5,31,11.1,412,<1,3,50.8,1884,<1,25,34.4,331,11,22,11.4,412,<1,5,5,6,5,3,2,2162,4,108,3,2,35,19,13,2367,110,89,49,40,39,3498,145,1439,92,327,691,335,180,7034,1,0,0,0,0,14,5,5,2,2,1,2,0,32,279.2,166,1862,345.9,351,43,112.1,32,116,2008-01-28,2013-10-17,2010-07-27,2011-02-09,2011-05-27,2012-05-22,2013-04-03,2013-07-26,2013-08-22,2013-10-17,2931,1493,2303,2169,2093,1846,1630,1550,1531,1493,<1,<1,368,39,395,2.7,2,20,87,1.1100,199308.41,0,166,3354,100,1495,154,27,26,153,2014-08-05,2019-04-26,2017-02-27,2017-12-01,2018-06-06,2018-07-02,2018-07-31,2018-09-18,2018-10-16,2019-03-21,1259,108,649,456,328,312,292,257,237,134,11921,12120,11936,10844,1495,1512,137,167,148,171,100,90,71dea87e-3fee-41fb-bc88-c1e7d23875b2,True,Treasury - 2019 - Annual FOIA Report
NARA,2019-11-19,2019,[],,"[{'value': 'NARA conducted a data review and under reported the number of pending FOIA requests from 2018.  The correct number is now being reported.', 'format': None, 'processed': '<p>NARA conducted a data review and under reported the number of pending FOIA requests from 2018.  The correct number is now being reported.</p>\n'}]",,,,,,,,,,,,,,,,,,,,,,,NARA reviewed the FOIA data and determined that the backlog is larger than what was reported in FY 2018.,,,,See footnote for XII.A.,,,55.90,0,53857.00,4704677.00,4758534.00,55.90,3494,4090,68062,67466,1459,16,782,48743,801,3316,42,1738,3115,178,7731,141,68062,1738,318,25,326,24,24,498,5,0,233,431,104,20,2,0,106,165,127,68,62,20,22,23,127,14,0,17,1,1,11,0,0,10,24,1,2,0,0,3,1,4,9,27,1,2,1,0,2,3,2,389.27,1283,2,454,2012-10-26,2015-06-03,2013-07-12,2014-03-14,2014-04-24,2014-05-22,2014-08-26,2014-10-06,2015-01-06,2015-05-04,1738,1086,1559,1393,1364,1344,1278,1250,1189,1107,1332.70,6474,1,795,N/A,N/A,N/A,N/A,574.03,1608,1,398,1496.25,6474,1,1402.5,N/A,N/A,N/A,N/A,351.92,1511,1,426.5,58,50,21,34,4,63929,24,1209,13,696,300,102,64,66504,5,3,5,6,2,51,24,22,20,413,6,9,13,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332.70,795,2493,401.65,436,36,574.03,398,830,1994-05-04,2005-02-22,2001-02-08,2004-04-29,2004-10-12,2004-10-13,2004-10-13,2004-12-20,2004-12-20,2004-12-20,6381,3669,4682,3872,3758,3757,3757,3711,3711,3711,4.93,5,148,15,151,6.4,3,365,4,0.0000,0.00,0,2,76173524,95,3359,7,0,0,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,68062,53101,67466,52850,3359,1810,127,84,68,76,95,154,b9fcdb11-032d-4f0a-8662-7c74e4df62e4,True,NARA - 2019 - Annual FOIA Report
ODNI,2019-11-19,2019,[],,"[{'value': 'After reviewing its database, ODNI adjusted the number of requests pending as of the start of the Fiscal Year.\r\n\r\n', 'format': None, 'processed': '<p>After reviewing its database, ODNI adjusted the number of requests pending as of the start of the Fiscal Year.</p>\n'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,11,137849.00,1798000.00,1935849.00,12.00,588,549,464,503,6,0,20,40,0,123,0,24,236,2,0,13,464,24,15,0,246,1,7,16,0,0,1,0,0,0,0,0,24,38,31,17,0,31,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,10,4,17,549.77,1592,1,672.00,2013-03-20,2017-10-25,2014-10-15,2015-10-07,2016-01-14,2016-06-02,2016-11-29,2017-04-24,2017-06-21,2017-09-19,1641.0,485.0,1245.0,999.0,933.0,836.0,713.0,613.0,572.0,510.0,185.59,1648,1,46.00,2.00,3,1,2.00,11.91,284,1,3.00,179.42,1648,1,49.00,2.00,3,1,2.00,12.71,284,1,3.00,1,0,0,1,0,170,4,4,0,0,1,1,0,182,17,18,5,3,1,91,21,28,13,38,10,11,3,259,0,0,0,0,0,3,0,0,0,0,0,0,0,3,601.63,548,485,N/A,N/A,0,431.97,350,103,2013-02-11,2014-04-01,2012-08-05,2013-11-27,2013-12-06,2013-12-12,2013-12-16,2014-02-24,2014-03-25,2014-04-01,1667.0,1382.0,1545.0,1466.0,1460.0,1456.0,1454,1408.0,1387.0,1382.0,12.76,1,17,3,15,1,1,0,94,0.0000,0.00,0,15,60,22,561,82,21,34,95,2018-01-11,2019-05-30,2018-05-10,2018-06-27,2018-07-27,2019-04-17,2019-05-03,2019-05-13,2019-05-20,2019-05-23,433.0,86.0,350.0,317.0,296,116.0,104.0,98.0,93.0,90.0,464,349,503,498,561,539,31,11,17,11,22,38,21547bff-b268-4b42-a664-1c5a4c162c0b,True,ODNI - 2019 - Annual FOIA Report
CIA,2019/11/19,2019,[],,"[{'value': 'After reviewing its database, CIA updated the number of requests pending as of the start of the Fiscal Year.', 'format': None, 'processed': '<p>After reviewing its database, CIA updated the number of requests pending as of the start of the Fiscal Year.</p>\n'}]",,,,,,,,,,,,,,,,,,,,,,,,"After reviewing its database, CIA updated the number of consultations received from other agencies pending at the start of the Fiscal Year.",,,,,,27.00,47,1155651.00,7060591.00,8216242.00,74.00,2634,2332,2261,2563,93,6,607,157,429,343,56,134,331,32,66,7,2261,134,959,7,1028,12,34,212,4,0,15,16,19,0,0,0,256,180,173,249,45,120,0,8,173,42,2,43,0,2,4,0,0,0,0,0,0,0,0,0,1,0,4,1,1,12,1,1,98,1,12,124.73,2593,<1,<1,2007-04-16,2013-07-19,2011-01-06,2012-01-06,2012-09-10,2012-10-09,2012-11-19,2013-03-07,2013-04-10,2013-04-30,3128,1556,2017,1942,1771,1751,1723,1650,1626,1612,329.70,2641,4,191.50,88,145,31,88,20.11,100,<1,14,525.4,2641,5,341,N/A,N/A,N/A,N/A,24.09,97,3,15,0,0,0,0,0,298,0,56,0,0,32,24,8,418,45,23,31,39,46,43,157,112,93,311,128,82,48,1158,0,0,1,0,0,0,0,1,0,0,0,0,0,2,530.23,402,1950,666,666,1,224.98,59,578,2007-12-27,2010-06-11,2008-07-09,2008-12-23,2009-01-28,2009-04-15,2009-05-05,2009-01-28,2009-08-05,2010-01-29,2952,2335,2818,2703,2680,2626,2608,2578,2548,2428,9.5,3.5,32,1,23,22,22,1,3,0.0100,577.21,0,3,13168,237,2384,589,703,509,395,2011-08-09,2014-12-02,2011-10-12,2011-12-09,2014-03-31,2014-03-31,2014-07-18,2014-08-26,2014-10-09,2014-12-02,2044,1213,2000,1960,1383,1383,1306,1279,1248,1213,2261,2345,2563,2726,2384,2009,173,219,249,277,237,158,1d589abf-0c38-4875-a3b1-b920f02af61c,True,CIA - 2019 - Annual FOIA Report
EPA,2019-11-18,2019,[],,"[{'value': 'EPA audited its reports and, based upon that audit, adjusted the total number of requests pending at the start of the Fiscal Year for the following components: HQ, and Regions 2,3,4,5,6,7,8,9, and 10.', 'format': None, 'processed': '<p>EPA audited its reports and, based upon that audit, adjusted the total number of requests pending at the start of the Fiscal Year for the following components: HQ, and Regions 2,3,4,5,6,7,8,9, and 10.</p>\n'}]",,,,"EPA audited it’s FY reports and, based upon that audit, adjusted the total number of requests pending in component HQ at the start of the Fiscal Year.",,,,,,,,,,,,,,,,,,,,,,,,,,137.00,94,2132910.00,32626930.00,34759840.00,231.00,3095,3751,9525,8869,372,46,70,4665,28,1738,16,18,1343,160,8,1061,9525,18,0,0,9,143,410,818,63,11,200,2,38,56,0,17,69,132,187,124,37,91,37,22,187,0,0,2,4,12,15,3,0,2,0,0,0,0,0,2,10,7,2,7,0,48,0,1,11,15,48,256.93,2377,<1,107,2013-05-30,2016-04-29,2013-09-27,2013-11-20,2014-04-16,2014-06-20,2014-07-10,2014-12-12,2015-03-31,2015-05-28,1587,856,1503,1467,1367,1321,1308,1201,1129,1088,117.95,1615,<1,44,541.77,1233,5,493,48.77,903,<1,16,126.32,1504,<1,55.5,428.12,631,5,449,45.93,687,<1,14,79,84,54,75,65,3988,207,1190,183,108,275,145,117,6570,63,56,41,25,36,460,114,570,106,173,338,164,104,2250,0,0,0,0,0,2,0,0,11,43,0,0,0,56,321.5,265,1141,594.24,573,41,272.15,275,1517,2010-04-07,2013-05-16,2011-08-22,2012-02-21,2012-03-22,2012-04-13,2012-06-11,2012-09-10,2012-11-02,2012-12-28,2377,1595,2030,1908,1882,1840,1824,1760,1728,1678,12.91,8,448,2,276,3.16,13,368,110,0.4100,133040.55,0,3,3395,64,2272,58,20,7,45,2017-09-11,2019-03-11,2017-09-12,2018-06-13,2018-09-12,2018-09-17,2018-09-19,2018-09-24,2019-02-13,2019-03-04,513,142,512,324,261,253,202,162,159,147,9525,10442,8869,11364,2272,2761,187,187,124,183,64,132,316a7013-2462-41ee-8caf-56f5eff809ce,True,EPA - 2019 - Annual FOIA Report
NSF,2020-11-20,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1,5545.00,371996.00,377541.00,2.50,318,258,267,327,0,1,6,32,2,32,2,0,162,5,0,25,267,0,0,2,2,146,8,150,1,0,3,0,0,0,0,0,0,0,3,3,2,0,0,1,3,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,0,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,87,1290,1,50,84,493,2,13,32,641,1,8,52,824,2,52,108,493,2,89,43,641,1,7,0,2,1,0,0,52,0,6,4,2,1,1,0,69,9,10,6,8,2,54,9,31,9,12,29,7,3,189,0,0,0,0,0,1,0,1,0,0,0,0,0,2,523,502,256,210,164,8,274,142,54,2013-10-24,2014-04-15,2013-11-18,2013-11-26,2014-01-03,2014-02-06,2014-02-07,2014-02-24,2014-03-20,2014-04-02,1468,1351,1452,1446,1421,1398,1397,1387,1369,1360,9,5,7,2,3,1,1,6,4,0.1000,380.07,0,0,207,0,301,3,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,267,349,327,329,301,248,3,4,3,4,0,0,16aedce7-10c8-4f75-b9d5-967f38ee56b3,True,NSF - 2019 - Annual FOIA Report
USICH,2019-11-21,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,0.00,3200.00,3200.00,0.02,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.5,30,15,22.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,30,15,22.5,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0.0000,0.00,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,4,8,4,8,0,0,0,0,0,0,0,0,6438cdba-ea87-4834-9bd1-99cc7e53b0d4,True,USICH - 2019 - Annual FOIA Report
CEQ,2019-11-18,2019,[],,[],"Data validation algorithm is incorrect.  There are 2 closed FOIA request that are not represented in either VII.C.1, 2, and 3, nor in Improper FOIA Request for Other Reason, nor in Records Not Reasonably Described.",,,,Data validation error by the algorithm.  The 1 shown here is indeed less than or equal to the 1 shown in VI.C.(2).,,,,,,,,,,,,,,,,,,,,,,,,,1.50,0,0.00,227524.00,227524.00,1.50,42,53,130,119,0,1,0,17,11,54,1,6,33,1,1,5,130,6,0,3,0,0,24,32,0,0,0,0,5,1,0,0,2,1,4,5,2,1,0,1,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.63,226,1,7.5,2019-07-18,N/A,2019-09-25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,0,4,0,0,0,0,0,0,0,215.06,874,1,123,N/A,N/A,N/A,N/A,36.47,376,1,7,195.22,874,1,128,N/A,N/A,N/A,N/A,59.33,376,3,24,0,2,1,0,0,60,2,10,3,0,2,3,0,83,0,3,0,1,0,5,6,2,2,5,4,2,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.31,333,34,N/A,N/A,0,408.2,407,5,2016-05-04,2017-09-19,2016-12-19,2017-04-18,2017-05-08,2017-06-06,2017-06-15,2017-07-13,2017-08-22,2017-08-29,858,511,701,619,605,584,577,558,530,525,12,13,3,1,2,N/A,N/A,0,0,0.0000,0.00,0,19,21,1,39,13,3,0,10,2019-09-12,N/A,2019-09-27,2019-09-27,N/A,N/A,N/A,N/A,N/A,N/A,14,0,3,3,0,0,0,0,0,0,130,156,119,167,39,51,4,3,5,2,1,1,1a08c005-47e4-4abf-b502-d515f633ac7d,True,CEQ - 2019 - Annual FOIA Report
NIGC,2019-11-21,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0,0.00,50000.00,50000.00,1.00,2,12,47,37,0,0,2,15,0,9,0,0,18,0,0,3,47,0,0,0,0,14,7,10,0,0,5,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17,17,17,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,218,526,45,96,N/A,N/A,N/A,N/A,4.5,17,1,2,144,492,45,73,N/A,N/A,N/A,N/A,5,17,1,2,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,1,0,0,1,0,0,0,1,4,2,5,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,871,2,N/A,N/A,0,N/A,N/A,0,2015-01-15,N/A,2017-07-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1181,0,561,0,0,0,0,0,0,0,9,9,2,0,1,4,4,2,5,7.6600,3827.75,0,0,125,0,2,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,47,52,37,44,2,9,1,0,1,0,0,0,ec39874d-69d5-4508-97e3-110345c529fb,True,NIGC - 2019 - Annual FOIA Report
FCA,2019-11-12,2019,[],,[],,,,,,,,,,,,,"The two FOIA requests that were processed in 21-40 day range were pending during the government-wide furlough, and we could not obtain permission from other agencies to release information that was generated in their offices of Inspector General. ",,,,,,,,,,,,,,,,,2.00,0,0.00,32000.00,32000.00,2.00,2,2,21,21,0,0,0,7,0,6,0,0,5,0,0,3,21,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.7,36,<1,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.83,36,<1,10.5,0,0,0,0,0,19,0,2,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,N/A,N/A,0,9,9,2,2019-09-20,N/A,2019-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,0.0000,0.00,0,0,10,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,21,21,21,23,0,0,0,0,0,0,0,0,7b3d10e2-3817-4185-b241-6f12bd4f74fa,True,FCA - 2019 - Annual FOIA Report
